,rules
0,be nice to each other
1,do not publish advertisements
2,do not publish conspiracy myths
3,do not publish content illegal in germany andor france such as holocaust denial or nazi symbolism
4,do not publish content promoting the ideology of national socialism
5,do not publish content that is hateful towards specific individuals or groups or intended to cause or incite harm
6,do not exclusively crosspost from other platforms
7,
8,
9,
10,no accounts that promote cryptocurrency
11,no policemilitary organization accounts
12,no sexual depictions of children
13,no uncurated news bots posting if you want to see statuses from a newspaper or something like that check out httpsfeedsinspace to setup an rssfediverse account
14,no untagged nudity pornography and sexually explicit content
15,no untagged gore and extremely graphic violence
16,no stalking or harassment of other users
17,do not use bots to abuse other people punch up not down
18,respect the standards of the fediverse if a human would likely add cw to a post a bot should also add a cw
19,your signup request must include the magic word the magic word is spreadsheet
20,no mirrors of someone elses twitter accounts if they want to be here they can create their own account
21,no interactions with people who dont opt in to the interaction if you mention another user they must either follow the bot or they mustve started the interaction themselves
22,no bots that use chatgpt openai or the other big gpt systems if youre running your own llm thats ok if you think you have a special use case to use a gpt system feel free to ask if you can make a bot here but chances are the answer will be no
23,respectez les autres utilisateurs
24,ne pas spammer bots limités à 1 publication par heure
25,pas de racisme de xénophobie de sexisme de discrimination
26,merci de ne pas publier de contenu illégal sauf les torrents
27,pour le contenu nsfw utilisez lavertissement de contenu ou le filtre nsfw
28,utiliser lavertissement de contenu pour les spoilers
29,ne partagez pas intentionnellement des informations fausses ou trompeuses
30,est interdit toute tentative de retournement dune oppression systémique par exemple racisme antiblanc sexisme antihomme hétérophobie cisphobie
31,ajoutez une description avec vos signalements et ne signalez pas abusivement dautres comptes
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,conformément aux lois françaises et à la jurisprudence les contenus pédopornographiques y compris sous forme dessinée sont illégaux et seront supprimés et les comptes concernés bloqués si distants ou supprimés si local
57,les contenus pornographiques ou visiblement violents doivent être marqués avec le drapeau sensible sensitive les comptes ne respectant pas cette règle seront rendus invisibles aux flux locaux et fédérés
58,la publicité sous forme répétée etou intrusive faisant mention dautres utilisateurices nest pas acceptée les comptes concernés seront rendus invisibles aux flux locaux et fédérés ou supprimés selon la gravité de la situation
59,approchez les personnes avec précaution et politesse si une personne vous demande darrêter de la mentionner ou quelle exprime ne plus vouloir participer à une discussion arrêtez immédiatement
60,sont interdits les propos images ou vidéos racistes sexistes homophobes ou transphobes
61,sont interdits les avances ou propositions à caractères sexuels nonsollicitées
62,sont interdit toute conduite en public ou en privé ayant pour but de traquer harceler ou intimider dautres personnes
63,il est interdit de rassembler publier disséminer les informations personnelles dune autre personne sans son autorisation explicite
64,il est interdit de poursuivre une conversation ou inciter une personne à poursuivre une interaction avec une personne ayant réclamé la cessation de ladite interaction peut être considéré comme du harcèlement indépendamment de la confidentialité employée
65,est interdit toute tentative de retournement dune oppression systémique par exemple racisme antiblanc sexisme antihomme hétérophobie cisphobie
66,il est interdit publier ou diffuser intentionnellement des propos diffamatoires calomnieux cela concerne aussi toute désinformation avec intention de tromper le gorafi ou the onion sont donc autorisés
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,禁止毒品交易儿童色情相关内容禁止纯粹以发布广告为目的的账号禁止传播盗版物禁止发布疑似传销拉人头的信息禁止利用本站发布诈骗信息理性讨论禁止言语蓄意引战或攻击他人
81,我们欢迎各种思想各种性取向各种倾向的理性言论的发表但反对一切谩骂特别是针对种族性别及性取向的言语攻击我们支持你发表倾向性的看法比如对某个事件某个事物某个种类的情绪性表达但请注意你的言辞是否会给特定人群造成严重不适无论是lgbt特定性别特定种族 长毛象宇宙是许多联邦构成的维护整个宇宙的环境是每个小象义不容辞的责任
82,be gay do crimes responsibly dont post or use this service for anything illegal in scotland germany or the eu
83,punch nazis trebuchet terfs any posts or usage which contain nazi symbolism or ideology or which contain gendercriticaljust asking questions tripe will get you banned immediately and without recourse weird pizza toppings are unpopular opinions human rights are not
84,be nice no racism homophobia transphobia xenophobia or any other form of discrimination in absence of clarity assume positive intent
85,dont ruin it queerparty is a freelyprovided and unmonetised service dont abuse it dont use it to abuse federated instances dont try to break things
86,be considerate respect others that use this service and keep in mind that any public post you make might show up in the public timelines of this and other instances that federate with queerparty use content warnings use nsfw tags dont be a jerk about it
87,dont be outwardly horny nsfw isnt banned but your profile avatar header display name bio etc must be completely safe or they will be removed be courteous with content warnings and dont make them overly explicit
88,no monopoly money you may not use this service to recruit victims to your bitcoin scam no nfts no cryptocurrency peddling no blockchains no investment bullshit
89,no misinformation covid is real putin is a warmonger trump lost do not use queerparty to spread unverified or false information if you are joking use the misinformation content warning
90,não são permitidos comentários ofensivos relacionados ou não com qualquer forma de discriminação
91,não é permitido incitação à violência ou promoção de ideologias violentas
92,não é permitido assédio dogpiling ou doxxing
93,não é permitido qualquer conteúdo ilegal em portugal
94,publicações com conteúdo sexual explícito ou que possa causar choque a terceiros tem de ser marcado como sensível
95,não é permitido publicar desinformação pseudociência e outras teorias da conspiração como factos ou seguir utilizadores que são fontes desse conteúdo
96,pas de propos offensants oppressifs ou haineux ni de harcèlement
97,les propos écrits idées dextrêmedroite prônant lintolérance ne sont pas bienvenues il en va de même pour le confusionnisme
98,pas de prosélytisme sous quelque forme quil soit
99,pas de publicité
100,précisez explicitement si votre compte est parodique ou sil sagit dun bot
101,le crossposting automatisé est proscrit
102,publications principalement en français ou anglais
103,privilégiez lusage du cw pour les contenus pouvant choquer éditez vos posts en cas de demande de cw
104,soyez sympa
105,sexually explicit or violent media must be marked as sensitive when posting
106,no racism sexism homophobia transphobia xenophobia or casteism
107,no incitement of violence or promotion of violent ideologies
108,no harassment dogpiling or doxxing of other users
109,no content illegal in sweden
110,no advertisement without the explicit permission from the administrator
111,no impersonation of other people or organisations
112,no discrimination including but not limited to racism sexism homophobia or transphobia
113,no explicit nsfw content without content warnings andor sensitive media markers explicit content must not be used in user avatars or header images
114,no harassment of other users on this or other servers
115,no content illegal in the following countries united kingdom germany
116,no incitement of violence or promotion of violent ideologies
117,no disinformation regarding public health issues or politicalmilitary campaigns
118,no spam this includes commercial advertising promotion of services and seo
119,no impersonation of other individuals public figures or organisations unless clearly marked as a parody
120,all automated bot accounts must enable the bot flag in their account preferences respect nobot markers and post as unlisted unless making less than one post per hour
121,httpsg0vsocialterms
122,遵守參與守則 code of conduct httpsg0vhackmdioscoc
123,閱讀使用說明 httpssiaulianwordpresscom20210114mastodontaiwanuserguide
124,taiwan is a country
125,閱讀使用說明 httpswwwnotionsopeilunmastodon9257c3e1cd3f42ae9902d6fc9cda6320
126,多說做了什麼少說看了什麼 say what you did not what you saw
127,no posting other artists work without credit and analysisopinion
128,respect other users boundaries
129,tag sensitive content such as violenceblood graphic nudity lewd content and other potentially upsetting or triggering topics and hide them under a content warning cw
130,no trolling microaggressions bullying or harassment see the code of conduct for the full list
131,no unapproved bots corporate advertising or spam this does not mean your shop links and commission pages please share those often
132,no racism sexism discrimination against gender and sexual minorities ableism fatmisia xenophobia andor violent nationalism or the advocation of all of the above
133,no content that includes sexual depictions of minors this includes loli content illegal in germany andor france such as holocaust denial or nazi symbolism conduct promoting the ideology of national socialism
134,conduct intended to stalk or harass users impede users from using the service degrade the performance of the service or incite others to perform any of the aforementioned actions is disallowed
135,no nft content none at all there are cryptorelated instances on the fediverse that would be more suitable
136,no aigenerated imagery allowed at all
137,no flooding the public timelines making lots of public posts in quick succession
138,do not political claim 政治的主張をする場ではありません
139,do not commercial advertising 営利目的の広告をする場ではありません
140,当サーバはボーカロイドやutaucevioなどの音声合成文化を愛好するユーザを対象としたサーバです該当されない方は他のサーバをご利用くださいまた利用規約 httpsvocalodonnetaboutmore および内規 httpwikivocalodonnetdokuphp をお読みください
141,はじめてログインされた方はまずはローカルタイムラインを開いてみてくださいマストドン公式アプリの方は左上メニューからローカルでアクセスできます
142,exclusively 18 zero tolerance for underage or otherwise illegal content
143,keep everything here consensual no exceptions
144,do not flood the server with posts no more than a small number of pictures in rapid succession violating it will get you silenced or suspended
145,if youre posting a picture thats not yours attribute it correctly we like original content text pics etc 100 times more than random porn off the internet
146,use sensitive media flag and content warning cw for nsfw media no fullon nudity in avatars
147,respect each other absolutely no hate speech
148,youre here to be here the main purpose of an account on this instance should be to contribute to the community not advertising a business or directing traffic elsewhere any advertisements should be unlisted or follower only
149,nudity and sexually explicit content is prohibited for accounts registered on this instance
150,violent media must be marked as sensitive when posting
151,no racism sexism homophobia transphobia xenophobia or casteism
152,no incitement of violence or promotion of violent ideologies
153,no harassment dogpiling or doxxing of other users
154,no content illegal in the united states germany or finland
155,do not share intentionally false or misleading information
156,bots must be marked as bots in their profile preferences and automated posts should be unlisted exceptions apply
157,you must select the appropriate language for each post
158,do not spam or abuse network features
159,please read httpsmppbushitme for moderation information and best practices
160,no és permès fer publicitat ni spam
161,lús de crossposters está acceptat només si és des de mastodontcat cap a twitter
162,aquest servidor bloqueja totes les instàncies del programari birdsitelive
163,la política de retenció dels fitxers multi mèdia remots és de 30 dies seràn esborrats automàticament als 30 dies els arxius dusuari seran esborrats als 7 dies
164,està prohibida qualsevol mostra de racisme xenofòbia o homofòbia contra cap usuari local o remot
165,lús daltres llengües diferents del català en la majoria dels tuts publicats pot provocar un avís i fins i tot suspensió del compte si és repetitiu
166,està prohibida qualsevol mostra de nuesa excepte quan aquesta tingui una procedència artística reconeguda i estigui degudament referenciada en el contingut del missatge
167,està prohibida qualsevol mostra explícita de contingut sexual o pornogràfic i especialment aquelles que continguin pederàstia o impliquin a menors dedat fet que a més serà denunciat a les autoritats pertinents
168,no és permeten faltes de respecte contra usuaris locals o remots
169,els serveis addicionals de blog wordpress git forgejo i xmpp ejabberd estan dedicats als usuaris actius els comptes registrats en aquests serveis addicionals seran esborrats si es detecta una falta dactivitat a mastodontcat i en els darrers 30 dies dels usuaris locals relacionats
170,this server abides by the mastodon covenant
171,organizations are welcome to engage with the community in a noncommercial nonadvertising manner
172,artists musicians writers and artisans are welcome to engage with the community regarding their craft
173,do not engage in harassment hateful content or posts of a derogatory nature
174,do not make advertising posts for the sake of purely promoting a commercial product or service
175,content originating from this site may not be used for machine training or other data mining activities without the individual authors consent
176,do not post real life sexual content
177,do not post illegal content or otherwise advocate for real life illegal action
178,do not repost art that you did not draw yourself or commission
179,do not post either ai generated content or realistic 3dcg renders without the use of proper tags ai 3d etc do not post realistic ai generated content period
180,do not spam the timeline with a flood of posts in a short period of time post as unlisted to avoid this
181,to apply for an account at baraagnet you must include link examples of your artwork for approval registration
182,️️️ seriously provide link examples of your art or your application will be rejected
183,heb respect voor elkaar
184,geen links of referenties naar racistische hatelijke of offensieve content
185,geen accounts en toots die nodeloos ongefundeerd zijn
186,geen zaken die in nederland illegaal zijn
187,geen reclame en spam
