,instance,rule,preprocessed rules,lang
1,pouet.it,"Be kind to each other.

",be kind to each other,English
2,pouet.it,"No harassment on users on this or other servers will be tolerated.
",no harassment on users on this or other servers will be tolerated,English
3,pouet.it,"No sexism, racism, homophobia, transphobia or any type of discrimination based on origin, culture, gender or any type of a defining aspect of a person on this or other servers will be tolerated.
",no sexism racism homophobia transphobia or any type of discrimination based on origin culture gender or any type of a defining aspect of a person on this or other servers will be tolerated,English
4,pouet.it,"If you share explicit images, they must be under content warning and the persons on it must be over 18 and consenting to the pictures being taken. This server is not made to share your porn collection, you'll get banned if you do that.
",if you share explicit images they must be under content warning and the persons on it must be over 18 and consenting to the pictures being taken this server is not made to share your porn collection youll get banned if you do that,English
5,pouet.it,Decisions made by admins are final.,decisions made by admins are final,English
6,mastodon.land,Treat others as you wish to be treated,treat others as you wish to be treated,English
7,mastodon.land,Use your best judgement and common sense,use your best judgement and common sense,non-Englsih
8,mastodon.land,Do not intentionally break the law ,do not intentionally break the law,English
9,boitam.eu,"Pour maintenir une instance tolérante, cette instance est intolérante à l'intolérance.

https://fr.wikipedia.org/wiki/Paradoxe_de_la_tol%C3%A9rance",pour maintenir une instance tolérante cette instance est intolérante à lintolérance httpsfrwikipediaorgwikiparadoxe_de_la_tolc3a9rance,non-Englsih
10,boitam.eu,"De ce fait, les idées racistes, xénophobes, islamophobes & antisémites, confusionistes & rouge-brunes, homophobes & transphobes ne sont pas les bienvenues.",de ce fait les idées racistes xénophobes islamophobes antisémites confusionistes rougebrunes homophobes transphobes ne sont pas les bienvenues,non-Englsih
11,boitam.eu,Les discussions doivent se faire dans le respect de tous et toutes.,les discussions doivent se faire dans le respect de tous et toutes,non-Englsih
12,boitam.eu,Le spam n'est pas bienvenu non plus.,le spam nest pas bienvenu non plus,non-Englsih
13,boitam.eu,Les photos de vélos doivent être prises côté transmission.,les photos de vélos doivent être prises côté transmission,non-Englsih
14,boitam.eu,Cette instance se donne le droit de ne pas fédérer avec des serveurs qui hébergent des comptes qui ne respectent pas les quatre premières règles.,cette instance se donne le droit de ne pas fédérer avec des serveurs qui hébergent des comptes qui ne respectent pas les quatre premières règles,non-Englsih
15,boitam.eu,Cette instance ne fédérera pas avec des serveurs tenus par des entités qui ont été accusées par l’ONU d’avoir aidé un génocide.,cette instance ne fédérera pas avec des serveurs tenus par des entités qui ont été accusées par lonu davoir aidé un génocide,non-Englsih
16,mastodon.transneptune.net,"No racism, sexism, homophobia, transphobia, or other bigotry.",no racism sexism homophobia transphobia or other bigotry,English
17,mellified.men,"No trolling, bullying, or harassment of other users, on this instance or elsewhere. Honest conflicts are inevitable, but if someone asks you to leave them alone, you are expected to do so.",no trolling bullying or harassment of other users on this instance or elsewhere honest conflicts are inevitable but if someone asks you to leave them alone you are expected to do so,English
18,mellified.men,"No endorsement of racism, sexism, homophobia, transphobia, anti-Semitism, etc. Period.",no endorsement of racism sexism homophobia transphobia antisemitism etc period,English
19,mellified.men,"Mark images in your posts that could be inappropriate for public viewing as ""sensitive."" This includes graphic violence, sexual content, and images that may be shocking.",mark images in your posts that could be inappropriate for public viewing as sensitive this includes graphic violence sexual content and images that may be shocking,English
20,mellified.men,Do not publicly reveal the personal information of others. This includes sharing the contents of other users' followers-only posts or direct messages without permission.,do not publicly reveal the personal information of others this includes sharing the contents of other users followersonly posts or direct messages without permission,English
21,mellified.men,All content uploaded to this service must be legal in the United States.,all content uploaded to this service must be legal in the united states,English
22,mellified.men,No spamming or otherwise abusing this service. This includes followbots and other bots that interact with users without their consent.,no spamming or otherwise abusing this service this includes followbots and other bots that interact with users without their consent,English
23,mellified.men,"Include a descriptive content warning (CW) if you're posting something that readers will likely find upsetting or prefer to be opt-in. Explicit discussion of sex and violence must always be CW'd. For everything else, use your judgment. ",include a descriptive content warning cw if youre posting something that readers will likely find upsetting or prefer to be optin explicit discussion of sex and violence must always be cwd for everything else use your judgment,English
25,elict.net,オープンな場が持続するよう努力しよう。,オープンな場が持続するよう努力しよう,non-Englsih
26,elict.net,堅すぎず柔らかすぎず，自己主張しつつ譲り合いつつ，控え目ながら大胆に。,堅すぎず柔らかすぎず自己主張しつつ譲り合いつつ控え目ながら大胆に,non-Englsih
27,elict.net,情報は鵜呑みにせず検討して議論して解決しよう。,情報は鵜呑みにせず検討して議論して解決しよう,non-Englsih
28,elict.net,バックグラウンドの違いを理解して認識の幅を広げよう。,バックグラウンドの違いを理解して認識の幅を広げよう,non-Englsih
29,clacks.link,Don't be a dick,dont be a dick,English
30,clacks.link,Don't get me in trouble with the law or my network provider,dont get me in trouble with the law or my network provider,English
31,clacks.link,Don't embarrass me in front of the other Mastodon admins,dont embarrass me in front of the other mastodon admins,English
32,clacks.link,You're in my house; Don't give me a reason to kick you out,youre in my house dont give me a reason to kick you out,English
33,clacks.link,"If you cause problems, I will deal with you based on my perception of the severity. ",if you cause problems i will deal with you based on my perception of the severity,English
34,clacks.link,"This could be anywhere from [telling you to knock it off] up to [deleting your account and everything associated with it, blocking your IPs at the firewall, and reporting you to your ISP and law enforcement].",this could be anywhere from telling you to knock it off up to deleting your account and everything associated with it blocking your ips at the firewall and reporting you to your isp and law enforcement,English
35,clacks.link,Please don't make me do the latter. Seriously.,please dont make me do the latter seriously,English
36,clacks.link,No RSS-feed bots not related to a Clacks user.,no rssfeed bots not related to a clacks user,English
37,clacks.link,No corporate accounts.,no corporate accounts,non-Englsih
38,clacks.link,"No purely advertising accounts (advertising your own things, provided it's not _all_ you do, is fine).",no purely advertising accounts advertising your own things provided its not _all_ you do is fine,English
39,clacks.link,No parody accounts,no parody accounts,English
40,clacks.link,All explicit sexual or violent content should be behind a CW,all explicit sexual or violent content should be behind a cw,English
41,clacks.link,No racism or advocation of racism,no racism or advocation of racism,English
42,clacks.link,No sexism or advocation of sexism,no sexism or advocation of sexism,English
43,clacks.link,"No discrimination against gender and sexual minorities, or advocation thereof",no discrimination against gender and sexual minorities or advocation thereof,English
44,clacks.link,No xenophobic and/or violent nationalism,no xenophobic andor violent nationalism,English
45,under-bank.blue,当サーバーはヒーローバンクの話題に限定しません。日常の雑談や制作の進捗などにどうぞ。またフォローせず、連合タイムラインやローカルタイムラインを見るだけの登録もOKです。ただしフォロワー限定の投稿は表示されないため、基本的にはフォローしてホームタイムラインで見ることをおすすめします。,当サーバーはヒーローバンクの話題に限定しません日常の雑談や制作の進捗などにどうぞまたフォローせず連合タイムラインやローカルタイムラインを見るだけの登録もokですただしフォロワー限定の投稿は表示されないため基本的にはフォローしてホームタイムラインで見ることをおすすめします,non-Englsih
46,under-bank.blue,公開投稿は世界中のさまざまなサーバーへ配信されます。連合タイムライン経由でさまざまなサーバーへ配信されることを忘れないでください。,公開投稿は世界中のさまざまなサーバーへ配信されます連合タイムライン経由でさまざまなサーバーへ配信されることを忘れないでください,non-Englsih
47,under-bank.blue,"ミュートやブロックは積極的に。自分の快適なタイムラインは自分で作る。
同じ作品が好きでも、性格や嗜好があう人もいればあわない人もいます。UNDER-BANK.blueでは、ミュートやブロックの積極的な使用をおすすめします。",ミュートやブロックは積極的に自分の快適なタイムラインは自分で作る 同じ作品が好きでも性格や嗜好があう人もいればあわない人もいますunderbankblueではミュートやブロックの積極的な使用をおすすめします,non-Englsih
48,under-bank.blue,"R15以上の性表現が含まれる画像にはNSFW(職場閲覧注意)の機能を使って画像を伏せて下さい。
R18以上のえっち文章は強制ではありませんが、cw(コンテンツワーニング)の機能を使って文章を伏せることをおすすめしています。
※文章のほうが制限がゆるいのは日本の法律に合わせています。",r15以上の性表現が含まれる画像にはnsfw職場閲覧注意の機能を使って画像を伏せて下さい r18以上のえっち文章は強制ではありませんがcwコンテンツワーニングの機能を使って文章を伏せることをおすすめしています 文章のほうが制限がゆるいのは日本の法律に合わせています,non-Englsih
