instance,rule_preelon,GPT category preelon,rule_postelon2023,GPT category postelon2023,rule_postelon2024,GPT category postelon2024
101010.pl,"['101010.pl jest instancją udostępnioną dla wszystkich dążących do swobodnego przepływu wiadomości, wiedzy, opinii, sztuki i żartów. Nasz serwer i społeczność są do Twojej dyspozycji. Czytaj, pisz, uczestnicz i rozwijaj się wraz z nami. Jako serwer krajowy preferujemy język polski, lub angielski.', 'Administracja 101010.pl zachowuje neutralność światopoglądową i promuje wolność słowa. Wierzymy, że sieć jest miejscem dialogu pozwalającym na wymianę różnorodnych poglądów.', 'Masz prawo do własnego zdania. Możesz mieć lewicowe, prawicowe albo centrowe poglądy polityczne. Możesz wyznawać dowolną wiarę, albo być ateistą. Możesz reprezentować dowolną orientację seksualną.', 'Twoje prawo do wolności to jednocześnie obowiązek. Szanuj innych, jako ludzi, nawet jeśli nie podzielasz i nie szanujesz ich poglądów. Nie agituj nachalnie, dyskutuj korzystając z argumentów i uznając prawo innych do posiadania własnego zdania.', 'Szanuj prawo do prywatności. Pamiętaj, że nie każdy musi się z Tobą zgadzać, możesz spotkać się z krytyką. Krytyka nie jest tożsama z nietolerancją. Na tym polega wolność.', 'Nie zostaniesz zbanowany za poglądy, ale musisz stosować się do kilku zawartych tutaj zasad. Nie bądź agresywny, nie obrażaj innych i nie groź im. Erotykę i inne treści przeznaczone dla dorosłych wstawiaj, jako treść ukrytą (przycisk CW).', 'Powstrzymaj się od agresywnej reklamy (produktów, polityków, ideologii i czegokolwiek innego). Publikuj wyłącznie treści legalne i przestrzegaj prawa (w tym prawa lokalizacji serwera, czyli polskiego). Łamiąc prawo wyrażasz zgodę na wzięcie na siebie za to pełnej odpowiedzialności.']","{'Not Applicable': 3, 'A: Harassment, Hate Speech': 1, 'Doxxing/Personal Info, Harassment': 1, 'Hate Speech, Harassment, NSFW, Content Warnings': 1, 'Advertising & Commercialization, Illegal Content': 1}","['101010.pl jest instancją udostępnioną dla wszystkich dążących do swobodnego przepływu wiadomości, wiedzy, opinii, sztuki i żartów. Nasz serwer i społeczność są do Twojej dyspozycji. Czytaj, pisz, uczestnicz i rozwijaj się wraz z nami. Jako serwer krajowy preferujemy język polski, lub angielski.', 'Administracja 101010.pl zachowuje neutralność światopoglądową i promuje wolność słowa. Wierzymy, że sieć jest miejscem dialogu pozwalającym na wymianę różnorodnych poglądów.', 'Masz prawo do własnego zdania. Możesz mieć lewicowe, prawicowe albo centrowe poglądy polityczne. Możesz wyznawać dowolną wiarę, albo być ateistą. Możesz reprezentować dowolną orientację seksualną.', 'Twoje prawo do wolności to jednocześnie obowiązek. Szanuj innych, jako ludzi, nawet jeśli nie podzielasz i nie szanujesz ich poglądów. Nie agituj nachalnie, dyskutuj korzystając z argumentów i uznając prawo innych do posiadania własnego zdania.', 'Szanuj prawo do prywatności. Pamiętaj, że nie każdy musi się z Tobą zgadzać, możesz spotkać się z krytyką. Krytyka nie jest tożsama z nietolerancją. Na tym polega wolność.', 'Nie zostaniesz zbanowany za poglądy, ale musisz stosować się do kilku zawartych tutaj zasad. Nie bądź agresywny, nie obrażaj innych i nie groź im. Erotykę i inne treści przeznaczone dla dorosłych wstawiaj, jako treść ukrytą (przycisk CW).', 'Powstrzymaj się od agresywnej reklamy (produktów, polityków, ideologii i czegokolwiek innego). Publikuj wyłącznie treści legalne i przestrzegaj prawa (w tym prawa lokalizacji serwera, czyli polskiego). Łamiąc prawo wyrażasz zgodę na wzięcie na siebie za to pełnej odpowiedzialności.']","{'Not Applicable': 4, 'Doxxing/Personal Info, Harassment': 1, 'Hate Speech, Harassment, NSFW, Content Warnings': 1, 'Advertising & Commercialization, Illegal Content': 1}","['101010.pl jest instancją udostępnioną dla wszystkich dążących do swobodnego przepływu wiadomości, wiedzy, opinii, sztuki i żartów. Nasz serwer i społeczność są do Twojej dyspozycji. Czytaj, pisz, uczestnicz i rozwijaj się wraz z nami. Jako serwer krajowy preferujemy język polski, lub angielski.', 'Administracja 101010.pl zachowuje neutralność światopoglądową i promuje wolność słowa. Wierzymy, że sieć jest miejscem dialogu pozwalającym na wymianę różnorodnych poglądów.', 'Masz prawo do własnego zdania. Możesz mieć lewicowe, prawicowe albo centrowe poglądy polityczne. Możesz wyznawać dowolną wiarę, albo być ateistą. Możesz reprezentować dowolną orientację seksualną.', 'Twoje prawo do wolności to jednocześnie obowiązek. Szanuj innych, jako ludzi, nawet jeśli nie podzielasz i nie szanujesz ich poglądów. Nie agituj nachalnie, dyskutuj korzystając z argumentów i uznając prawo innych do posiadania własnego zdania.', 'Szanuj prawo do prywatności. Pamiętaj, że nie każdy musi się z Tobą zgadzać, możesz spotkać się z krytyką. Krytyka nie jest tożsama z nietolerancją. Na tym polega wolność.', 'Nie zostaniesz zbanowany za poglądy, ale musisz stosować się do kilku zawartych tutaj zasad. Nie bądź agresywny, nie obrażaj innych i nie groź im. Erotykę i inne treści przeznaczone dla dorosłych wstawiaj, jako treść ukrytą (przycisk CW).', 'Powstrzymaj się od agresywnej reklamy (produktów, polityków, ideologii i czegokolwiek innego). Publikuj wyłącznie treści legalne i przestrzegaj prawa (w tym prawa lokalizacji serwera, czyli polskiego). Łamiąc prawo wyrażasz zgodę na wzięcie na siebie za to pełnej odpowiedzialności.']","{'Not Applicable': 3, 'A: Harassment, Hate Speech': 1, 'Doxxing/Personal Info, Harassment': 1, 'Hate Speech, Harassment, NSFW, Content Warnings': 1, 'Advertising & Commercialization, Illegal Content': 1}"
184.im,[nan],{'A: Not Applicable': 1},[nan],{'A: Not Applicable': 1},[nan],{'Not Applicable': 1}
akademienl.social,"['No racism, sexism, homophobia, transphobia, xenophobia, able-ism, etc.', 'No incitement of violence, promotion of violent ideologies or violent behaviour of any manner.', 'No doxxing, dogpiling or harassment in any form of other users.', 'No spam, bots or advertisements.', 'No media and content which is sexual or violent in nature.', 'No harmful, manipulated, or misleading information (e.g., regarding elections, public health)', 'In order to be able to moderate this server, posts need to either be written in Dutch or English.']","{'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Spam, Advertising & Commercialization, Automated tools': 1, 'NSFW, Images': 1, 'Mis/Disinformation/Conspiracy': 1, 'Off-topic/topic specific': 1}","['No racism, sexism, homophobia, transphobia, xenophobia, able-ism, etc.', 'No incitement of violence, promotion of violent ideologies or violent behaviour of any manner.', 'No doxxing, dogpiling or harassment in any form of other users.', 'No spam, bots or advertisements.', 'No media and content which is sexual or violent in nature.', 'No harmful, manipulated, or misleading information (e.g., regarding elections, public health)', 'In order to be able to moderate this server, posts need to either be written in Dutch or English.']","{'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Spam, Automated tools, Advertising & Commercialization': 1, 'NSFW, Images': 1, 'Mis/Disinformation/Conspiracy': 1, 'Off-topic/topic specific': 1}",[nan],{'A: Not Applicable': 1}
antisocial.existentialdread.com,"['No. If you have to ask, then the answer is No.']",{'Not Applicable': 1},[nan],{'Not Applicable': 1},"['No. If you have to ask, then the answer is No.']",{'Not Applicable': 1}
appellate.social,"['To preserve a friendly space, and to preserve our links with other federated servers, people here will be expected to follow basic rules. Those include:', 'No harassment, dogpiling or doxxing of other users', 'Sexually explicit or violent media must be marked as sensitive when posting', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No incitement of violence or promotion of violent ideologies', 'Do not share intentionally false or misleading information']","{'A: Not Applicable': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Images': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Mis/Disinformation/Conspiracy': 1}","['To preserve a friendly space, and to preserve our links with other federated servers, people here will be expected to follow basic rules. Those include:', 'No harassment, dogpiling or doxxing of other users', 'Sexually explicit or violent media must be marked as sensitive when posting', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No incitement of violence or promotion of violent ideologies', 'Do not share intentionally false or misleading information']","{'A: Not Applicable': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Images': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Mis/Disinformation/Conspiracy': 1}",[nan],{'A: Not Applicable': 1}
astrodon.social,"['No hate speech, sexism, ableism, homophobia, transphobia, discrimination, or harassment of any kind.', ""No advertising or spam content. It's okay to promote yourself (especially your work and publications!), but not paid products or services."", 'Be respectful and treat others the way you want to be treated. Disagreement and collegiate discussion is acceptable, and rational debate is to be encouraged. Rudeness, insults, exclusion of others, dogpiling, and other anti-social behaviour is not.', 'No impersonation of others, or false representation of yourself, your credentials, or institutional affiliations.', 'Public images and media must be annotated. Where the material is not yours, source attribution must be provided, preferably with a link to the original.', 'No shortened links, e.g. bit.ly, t.ly, goo.gl, ift.tt, lnkd.in, is.gd or t.co (These are malicious because link-shorteners track users without their consent and obscure the destination address, which also prevents users from being able to decide whether they want to visit the link beforehand)', 'Use content warnings to help keep this a stress-free community. Consider marking off-topic content as sensitive to allow other community members to engage with it or not. Triggering content (see below) must be marked as sensitive.']","{'Hate Speech, Harassment': 1, 'Advertising & Commercialization, Spam': 1, 'Harassment, Dogpiling': 1, 'Impersonation': 1, 'Images, Links & Outside Content': 1, 'Links & Outside Content': 1, 'Content Warnings, Off-topic/topic specific': 1}","['No hate speech, sexism, ableism, homophobia, transphobia, discrimination, or harassment of any kind.', ""No advertising or spam content. It's okay to promote yourself (especially your work and publications!), but not paid products or services."", 'Be respectful and treat others the way you want to be treated. Disagreement and collegiate discussion is acceptable, and rational debate is to be encouraged. Rudeness, insults, exclusion of others, dogpiling, and other anti-social behaviour is not.', 'No impersonation of others, or false representation of yourself, your credentials, or institutional affiliations.', 'Public images and media must be annotated. Where the material is not yours, source attribution must be provided, preferably with a link to the original.', 'No shortened links, e.g. bit.ly, t.ly, goo.gl, ift.tt, lnkd.in, is.gd or t.co (These are malicious because link-shorteners track users without their consent and obscure the destination address, which also prevents users from being able to decide whether they want to visit the link beforehand)', 'Use content warnings to help keep this a stress-free community. Consider marking off-topic content as sensitive to allow other community members to engage with it or not. Triggering content (see below) must be marked as sensitive.']","{'Hate Speech, Harassment': 1, 'Advertising & Commercialization, Spam': 1, 'Harassment, Dogpiling': 1, 'Impersonation': 1, 'Images, Links & Outside Content': 1, 'Links & Outside Content': 1, 'Content Warnings, Off-topic/topic specific': 1}","['No hate speech, sexism, ableism, homophobia, transphobia, discrimination, or harassment of any kind.', 'Be respectful and treat others the way you want to be treated. Disagreement and collegiate discussion is acceptable, and rational debate is to be encouraged. Rudeness, insults, exclusion of others, dogpiling, and other anti-social behaviour is not.', ""No advertising or spam content. It's okay to promote yourself (especially your work and publications!), but not paid products or services."", 'Public images and media must be annotated. Where the material is not yours, source attribution must be provided, preferably with a link to the original.', 'No impersonation of others, or false representation of yourself, your credentials, or institutional affiliations.', 'No shortened links, e.g. bit.ly, t.ly, goo.gl, ift.tt, lnkd.in, is.gd or t.co (These are malicious because link-shorteners track users without their consent and obscure the destination address, which also prevents users from being able to decide whether they want to visit the link beforehand)', 'Use content warnings to help keep this a stress-free community. You are expected to mark off-topic content with a descriptive CW to allow other community members to engage with it or not. Stressful or triggering content (see community guidelines) must be marked with a content warning.']","{'Hate Speech, Harassment': 1, 'Harassment, Dogpiling': 1, 'Advertising & Commercialization, Spam': 1, 'Images, Links & Outside Content': 1, 'Impersonation': 1, 'Links & Outside Content': 1, 'Content Warnings, Off-topic/topic specific': 1}"
augsburg.social,[nan],{'A: Not Applicable': 1},[nan],{'A: Not Applicable': 1},[nan],{'A: Not Applicable': 1}
august-don.site,[nan],{'A: Not Applicable': 1},[nan],{'Not Applicable': 1},[nan],{'A: Not Applicable': 1}
aus.social,"['Do not break the Code of Conduct.', 'Do not break the law (Australian).', 'Do not open a Business/Professional/Brand account (Art, Music or homemade stuff is fine).', 'Do not create accounts for Impersonation (individuals, groups, or organisations)']","{'Not Applicable': 1, 'Illegal Content': 1, 'Advertising & Commercialization': 1, 'Impersonation': 1}","['Do not break the Code of Conduct.', 'Do not break the law (Australian).', 'Do not open a Business/Professional/Brand account (Art, Music or homemade stuff is fine).', 'Do not create accounts for Impersonation (individuals, groups, or organisations)']","{'Not Applicable': 1, 'Illegal Content': 1, 'Advertising & Commercialization': 1, 'Impersonation': 1}","['Do not break the Code of Conduct.', 'Do not break the law (Australian).', 'Do not open a Business/Professional/Brand account (Art, Music or homemade stuff is fine).', 'Do not create accounts for Impersonation (individuals, groups, or organisations)']","{'Not Applicable': 1, 'Illegal Content': 1, 'Advertising & Commercialization': 1, 'Impersonation': 1}"
autonomous.zone,"['This server is antifa', 'No racism, sexism, homophobia, transphobia, xenophobia, ableism and classism', 'This server is anti-capitalist', 'Respect the consent of others, no harassment', 'No borders, no nations', 'Community fridges for all!', 'The use of image descriptions and content warnings is greatly appreciated']","{'Not Applicable': 4, 'Hate Speech': 1, 'Harassment': 1, 'A: Content Warnings, Images': 1}","['This server is antifa', 'No racism, sexism, homophobia, transphobia, xenophobia, ableism and classism', 'This server is anti-capitalist', 'Respect the consent of others, no harassment', 'No borders, no nations', 'Community fridges for all!', 'The use of image descriptions and content warnings is greatly appreciated']","{'Not Applicable': 4, 'Hate Speech': 1, 'Harassment': 1, 'Images, Content Warnings': 1}","['This server is antifa', 'No racism, sexism, homophobia, transphobia, xenophobia, ableism and classism', 'This server is anti-capitalist', 'Respect the consent of others, no harassment', 'No borders, no nations', 'Community fridges for all!', 'The use of image descriptions and content warnings is greatly appreciated']","{'Not Applicable': 3, 'Hate Speech': 1, 'Harassment': 1, 'A: Not Applicable': 1, 'Content Warnings, Images': 1}"
