,Unnamed: 0,instance,rule,preprocessed rules,lang,translated rules
0,0,icosahedron.website,"For an extended description of every rule, please read our about page.",for an extended description of every rule please read our about page,English,for an extended description of every rule please read our about page
1,1,icosahedron.website,Be friendly.,be friendly,non-Englsih,be friendly
2,2,icosahedron.website,Don’t start shit.,dont start shit,non-Englsih,dont start shit
3,3,icosahedron.website,Obey the law.,obey the law,English,obey the law
4,4,icosahedron.website,Spam is not allowed.,spam is not allowed,English,spam is not allowed
5,5,icosahedron.website,Be aware of the nature of the network.,be aware of the nature of the network,English,be aware of the nature of the network
6,6,icosahedron.website,Fascism is incompatible with a free exchange of ideas.,fascism is incompatible with a free exchange of ideas,English,fascism is incompatible with a free exchange of ideas
7,7,icosahedron.website,Admin decisions are final.,admin decisions are final,non-Englsih,admin decisions are final
8,8,icosahedron.website,These goal of these rules is to ensure a safe and welcoming environment.,these goal of these rules is to ensure a safe and welcoming environment,English,these goal of these rules is to ensure a safe and welcoming environment
9,10,maly.io,"Respect everyone: we actively moderate against racism, sexism, homophobia, transphobia... Any kind of discrimination.",respect everyone we actively moderate against racism sexism homophobia transphobia any kind of discrimination,English,respect everyone we actively moderate against racism sexism homophobia transphobia any kind of discrimination
10,11,maly.io,No NSFW without at least having a content-warning and/or posting as unlisted.,no nsfw without at least having a contentwarning andor posting as unlisted,English,no nsfw without at least having a contentwarning andor posting as unlisted
11,12,maly.io,"Any content that is illegal in Belgium, France or Germany is prohibited.",any content that is illegal in belgium france or germany is prohibited,English,any content that is illegal in belgium france or germany is prohibited
12,13,maly.io,Do not gather information about our users by means of web scrapers or other software alike.,do not gather information about our users by means of web scrapers or other software alike,English,do not gather information about our users by means of web scrapers or other software alike
13,14,maly.io,Don't spam.,dont spam,non-Englsih,dont spam
14,15,mstdn.io,Respect each other,respect each other,English,respect each other
15,16,mstdn.io,Don't spam,dont spam,non-Englsih,dont spam
16,17,mstdn.io,Don't post illegal content,dont post illegal content,non-Englsih,dont post illegal content
17,18,mstdn.io,"NSFW content should be posted under content warning, the NSFW filter, or as unlisted",nsfw content should be posted under content warning the nsfw filter or as unlisted,English,nsfw content should be posted under content warning the nsfw filter or as unlisted
18,19,mstdn.io,Use content warning for spoilers,use content warning for spoilers,English,use content warning for spoilers
19,20,mstdn.io,Bots and commercial accounts are prohibited.,bots and commercial accounts are prohibited,English,bots and commercial accounts are prohibited
20,21,mstdn.io,"Accounts with lots of media content (images,videos,audio) are prohibited (hosting costs money!)",accounts with lots of media content imagesvideosaudio are prohibited hosting costs money,English,accounts with lots of media content imagesvideosaudio are prohibited hosting costs money
21,22,mstdn.io,"Your account may be frozen, silenced or suspended for any reason at the discretion of the moderators. Racists, nazis, xenophobes, transphobes, complotists, anti-vaxxers, pro-lifers etc are NOT welcome
",your account may be frozen silenced or suspended for any reason at the discretion of the moderators racists nazis xenophobes transphobes complotists antivaxxers prolifers etc are not welcome,English,your account may be frozen silenced or suspended for any reason at the discretion of the moderators racists nazis xenophobes transphobes complotists antivaxxers prolifers etc are not welcome
22,23,mstdn.io,Accounts that are inactive (not signed in) for more than a year will be deleted. (The username will not be freed).,accounts that are inactive not signed in for more than a year will be deleted the username will not be freed,English,accounts that are inactive not signed in for more than a year will be deleted the username will not be freed
23,24,mastodon.tetaneutral.net,L'ouverture et l'utilisation d'un compte sur cette instance implique le respect de la législation française en vigueur.,louverture et lutilisation dun compte sur cette instance implique le respect de la législation française en vigueur,non-Englsih,Louverture and use of the account on this body implies compliance with French legislation in force
24,25,mastodon.tetaneutral.net,Tout contenu manifestement illégal sera supprimé ou bloqué dès lors qu'il est signalé à l'équipe de modération.,tout contenu manifestement illégal sera supprimé ou bloqué dès lors quil est signalé à léquipe de modération,non-Englsih,Any manifestly illegal content will be deleted or blocked as soon as it is reported to the moderation team
25,26,mastodon.tetaneutral.net,"Afin de ne pas encourager le harcèlement en ligne, tout pouet signalé comme injurieux ou constituant aux yeux des personnes qui le voient une agression sera supprimé. La répétition des signalements de ce type peut entrainer la suspension du compte. (ajout le 2 août 2023)",afin de ne pas encourager le harcèlement en ligne tout pouet signalé comme injurieux ou constituant aux yeux des personnes qui le voient une agression sera supprimé la répétition des signalements de ce type peut entrainer la suspension du compte ajout le 2 août 2023,non-Englsih,"In order not to encourage online harassment any pouet reported as insulting or constituting in the eyes of people who see it an attack will be deleted the repetition of this type reports can lead to the suspension of the Add account on August 2, 2023"
26,27,mastodon.tetaneutral.net,"Le fascisme, le racisme et l'anti-sémitisme avancent souvent masqués sur les réseaux sociaux. Si un pouet est signalé pour l'une de ces raisons, il sera traité et supprimé comme tel, même s'il peut paraitre inoffensif. La répétition des signalements amènera à la suspension du compte.",le fascisme le racisme et lantisémitisme avancent souvent masqués sur les réseaux sociaux si un pouet est signalé pour lune de ces raisons il sera traité et supprimé comme tel même sil peut paraitre inoffensif la répétition des signalements amènera à la suspension du compte,non-Englsih,Fascism racism and lanteredism often advance masked on social networks if a pouet is reported for the moon of these reasons it will be treated and deleted as such even if it may seem harmless the repetition of the reports will lead to the suspension of the account
27,38,oulipo.social,Look at and comply with our Social Contract.,look at and comply with our social contract,English,look at and comply with our social contract
28,39,toot.berlin,"Participate in an authentic and active way. In doing so, you contribute to the health and longevity of this community.",participate in an authentic and active way in doing so you contribute to the health and longevity of this community,English,participate in an authentic and active way in doing so you contribute to the health and longevity of this community
29,40,toot.berlin,Exercise consideration and respect in your speech and actions.,exercise consideration and respect in your speech and actions,English,exercise consideration and respect in your speech and actions
