,rules
0,have a look at httpssocialwxcafenetterms
1,tldr be kind to each other think carefully about the words you use think carefully about what content you post and promote
2,injures outrage et diffamation interdits
3,incitation à la haine interdite
4,apologie ou provocation du terrorisme interdite
5,propos haineux interdits
6,propos discriminatoires interdits
7,pédopornographie et référence pédophile interdites
8,avertissement obligatoire pour la pornographie ou les représentations choquantes du corps
9,avertissement obligatoire pour les représentations explicites et implicites de violence
10,avertissement obligatoire pour les représentations daddiction
11,avertissement obligatoire pour les représentations de soi
12,mention explicite des biais dans les propos plausiblement dangereux désinformation
13,tentatives descroquerie interdites ycompris les liens
14,diffusion dinformations personnelles dautrui interdite
15,respect obligatoire du droit dauteur et des droits de licence
16,diffusion dinformations protégées interdite
17,spam interdit ainsi que toute forme dattaque technique
18,dont be a dick
19,no nazis
20,no racism
21,tankies are verboten
22,stalinistmaoist punks fuck off
23,deny a genocide and we deny your access
24,no transphobia enbyphobia genderphobia of any kind or homophobia
25,take your trump shit somewhere else
26,the rules are up to us to interpret not you
27,we reserve the right and privilege to block whatever the fuck we want whenever we feel like it at all times
28,if you have to ask if somethings covered by a rule its not allowed period
29,no harassment or trolling
30,no hate speech or bigotry including misgendering deadnaming or promotion of socalled conversion therapy
31,no spam
32,use content warning for nsfw provocative edgy or potentially traumatic content
33,no harmful misinformation
34,les droits français et européens sappliquent pleinement ni plus ni moins
35,les données personnelles des membres de linstance ne nous sont daucun intérêt
36,aucun compte distant et aucune instance ne sont globalement bloqués par diaspodonfr dans les limites de la règle 1 bien sur les instances bloquées sont listées publiquement dans la rubrique serveurs modérées du à propos httpsdiaspodonfrabout
37,la modération des tendances devant être faite à priori seuls les comptes connus de la modération et les sources francophones connues comme étant globalement fiables y figurent les tendances ne sont donc pas représentatives de lintégralité du réseau
38,par défaut et pour respecter au mieux la vie privée des membres de linstance ni la lisibilité du fil public ni la découverte de comptes locaux ne sont activés
39,you must be 18 years or older
40,be good no harassment punching down on marginalised groups or content harmful to the public good check our server info for more detail
41,no content illegal in australia or germany including overt adult content ie no nudes
42,personal accounts only no brands
43,liberté dexpression dans la limite de la loi française
44,invitationonly
45,any kind of hate speech racism or phobia against lgbtq people is grounds for immediate account suspension
46,these are not welcome on this instance corporate accounts nonprofits are fine advertising onedirectional crossposters from twitter
47,user accounts whose only activity consisted of registration but did not post anything or follow anybody or interact with the fediverse in any other way might be deleted after a short period of time this is in order to prevent bot activity
48,when signing up only about one out of ten requests are accepted you can increase your chances by writing a more detailed description and including the word mellon in your request
49,no commercial accounts advertising or excessive promotion
50,no bots unless theyre cute funny or useful bots should avoid posting to the public timeline
51,no gore or graphic violence
52,content that is borderline nsfw or could be construed as nsfw at a glance should be put behind a cw content warning
53,no racism
54,no sexism
55,no discrimination based on gender sexual minority sexual orientation disability physical appearance body size race ethnicity religion or lack thereof or national origin
56,no xenophobia or violent nationalism
57,no sexual depictions of children
58,no holocaust denialism nazi symbolism or promotion of national socialism
59,no stalking or harassment
60,no fake accounts unless they are clearly labeled as such
61,dont make us make a new rule if the defense of an action is that its not specifically outlined as against these rules consider instead this rule
62,any siloed corporate social media entity that is not fediverse native that tries to federate with hackerstown will be blocked
63,typical content warnings include but are not limited to politics food alcohol and drugs eye contact and nsfw material if you would not share it in a work chat it probably needs a cw if staff or other users ask you to cw something please edit the post
64,if you willfully misgender or deadname a person we will kickbanblockdefederate
65,no automated cross posting from twitter rss or other services
66,no spam blatant advertising without relevant thoughtful content
67,no impersonating other people
68,descriptions required for images and video alt tag to support those with sight issues
69,in the event of a dispute site administrators decisions are made on a good faith basis informed by the nzoss code of conduct and are final
70,challenge ideas respect individuals
71,no racism sexism ableism transphobia or otherwise harassing individuals for what they are
72,no commercial accounts for proprietary products we want real people and free and open source softwarehardware projects commercial is fine
73,be civil and be kind if you need to criticise punch up never down hate speech intended to incite or offend is not acceptable
74,content warnings required use common sense with content warningscws tag nudity politics violence and kink content tag anything lewd or inappropriate for an office environment generally considered stuff the average person wouldnt wish to see at work
75,dont abuse crossposting crossposters from other services must be cwd and set as unlisted
76,use image descriptions as much as you can
77,harassment and abusive behaviors are not allowed this includes harassing other instances because you disagree with their policies
78,we have a zero tolerance policy for racism sexism homophobia promotion of right wingnazi ideology transphobia ableism animal abuse we reserve the right to expand this list at moderator discretion for topics we may have missed
79,no advertising this means no accounts on behalf or brands or accounts representing organizations andor for the purpose of advertisement allowed exceptions personal accounts promoting artistic services like commissions
80,you must be at least 18 years of age to register although we arent an adultoriented instance we do federate with instances which are and we cannot guarantee the timeline to be suitable for minors
81,みんななかよく
82,法令は守って
83,dont be an asshole to others
84,no spam promotion only accounts
85,if you are going to post anything that may be considered nsfw use cw
86,be nice and dont be angry wink
87,adhere to applicable laws
88,avoid toxicity
89,strictly no hate speech
90,no pornography originating from this server
91,report any content you think violates our rules and terms of service
92,the full rules and terms of service overrides everything stated or not stated in this summary
93,日本国の国内法に基づきます
94,サーバに負荷のかかる行為はご遠慮ください
95,みんななかよく
96,競馬に関するどんな話題でもご自由にどうぞ
97,インターネットは公共の場ですなんでもして良い場ではありません
98,他のユーザーを不快にさせるような言動行動は謹んでください
99,あまりに目に余るような言動行動があった場合アカウント凍結などの処置を行います
100,またこのサーバーにおいては日本の法律を適用します 日本の法律に反するような行為等が見られた場合もアカウント凍結等の措置を行います
101,一般に18禁と呼ばれるような文章についてはcontent warningで隠してください また18禁のメディア画像などについては不適切なコンテンツとしてマークしてくださいnsfwボタンでできます
102,フォロ爆ファボ爆連投他過度にサーバーに負荷をかける行為は禁止です 明らかなスパムがあった場合予告無くアカウントのサイレンス又は凍結を行うことがあります
103,botを作るときは独自のインスタンスを作成してそこでやってください botによる自発フォローはしないようにしてください 悪質だと判断した場合連絡なしに凍結などの処置を行うことがあります
104,思いやりを持って人に接しましょう
105,憎悪や攻撃性を広めるような使い方はしないでください
106,残虐な表現は控えてください
107,実写および写実的なヒトの性的な視覚的描写は禁止します
108,日本で18 歳以上との年齢制限が掛かるような画像を投稿する場合は閲覧注意に設定し本文または内容警告cwに適切な説明何を隠してあるかが分かるような説明を必ず記載してください
109,運営は日本語で行います you are expected to comprehend instructions from moderators in japanese
110,プリキュアシリーズへの愛があることは参加のそもそもの前提とさせて頂きます
111,ネタバレを含む投稿にはcw機能の使用をお願いしますその際注釈タイトルは必ずネタバレを含むという意図がわかるものにしてください
112,規約にもある通り投稿の著作権は本人にあります当然ながら不適切な投稿の責任も本人が持つものとします
113,いかなる理由があっても東映公式やおもちゃ業界等の守秘事項の投稿はしないでくださいなお商標の出願公開は守秘事項に含みません
114,大事なお知らせを伝えることがあるお知らせボットへのフォローを外すことは出来ません外しても数分後にフォローが復活します
115,日本の法律公序良俗に反する行為は禁止です
116,18禁に該当する文章にはcontent warningcwを画像にはnsfwを付けて投稿してください
117,他のユーザーへの迷惑行為サーバーの負荷に繋がる極端な行為サーバーの存続を脅かす行為があった場合予告なくアカウントを凍結します
118,
119,
120,accounts are for noncommercial use only
121,do not post material illegal in sweden
122,do not post material in breach of swedish or eu copyright laws
123,material with violent or explicit imagery must use a content warning
124,no harassment dogpiling or doxxing of other users
125,no incitement of violence or promotion of violent ideologies
126,no racism sexism or hateful messages about sexual orientation gender identity or expression disability or any cultural ethnic caste or religious identity or background
127,do not share intentionally false or misleading information
128,do not post any material that may damage accs public image or its relationship with authorities or other institutions
129,犯罪に関わることや法律に違反する投稿は禁止します
130,アカウントの大量作成やサーバーに極度の負荷をかける行為は控えてください
131,みんな仲良く
132,pas de contenu illégal
133,pas de spam
134,la création de compte est soumise à validation en raison des spammeurs votre demande peut donc être perdue au milieu de demandes non légitimes si la validation traîne nhésitez pas à me contacter pbmasteuorg ou pierrebbskysocial ou pbeyssactwittercom
135,
136,i agree to abide by the terms and spirit of the w3c code of ethics and professional conduct httpswwww3orgconsortiumcepc
137,i agree to describe media that i post because alt text helps everyone especially but not only the visually impaired by clarifying intended meaning saying a bit about the posters personality or even providing metadata if the media does not load
138,i agree to fill out my bio as soon as possible after joining this instance
139,i agree to stay mainly on topic for this server which is around activities of the world wide web consortium
140,i agree to tread lightly and dive only sparingly in sensitive content and potentially upsetting or triggering topics such as violence graphic or adult content politics religion food etc
141,if i cant uphold rule 5 i agree to hide behind a content wrapper cw sensitive content and potentially upsetting or triggering topics such as violence graphic or adult content politics religion food eye contact critters or whether you use emacs or vi
142,please be kind your interactions go to real people who deeply care and do their best please be curious not critical
143,ネタバレ防止には極力配慮しましょう
144,誰かの好きを否定しないようにしましょう
145,えっちな投稿は mastodon の閲覧注意機能を使って隠しましょうジパングの本屋さんに置けないような内容は mastodon の閲覧注意機能を使って隠しても何しても投稿してはダメです
146,do not use for advertising only 宣伝連投のみを目的としたアカウントの作成を禁止します
147,あとでかく
148,みんな仲良くしてください
149,法または道徳に反する投稿はやめてください
150,投稿画像や動画には必要と認める場合は閲覧注意フラグを付与してください
151,サーバーに過度な負荷をかけないでください
152,ルールはとくに定めておりません
153,be free
154,be whoever
155,say whatever however
156,any and all slagging off should be undertaken in the in the spirit of irony and humor
157,friendicame terms of service
158,friendicame is a free decentralised social network using free software produced by the friendica project httpsfriendica friendica the software the project
159,the service the service friendicame is a single instance of the friendica software and is provided to you the user you including hosting space by philipp holzer me i we us our the service is provided to you free of charge the following terms terms of service terms apply to your use of friendicame and you agree to these terms when creating an account and using the service
160,1 applicability
161,11 these terms of service govern the use of the service by using the service you agree to be bound by the
162,terms of service and any additional policies that apply to it
163,12 while the service does allow connection to other webbased services use of those services is entirely optional and may require you the user to agree to the terms and conditions notice and take down policies andor
164,privacy and cookie policies may apply friendicame is not responsible for these services terms andor policies
165,13 we may amend these terms of use from time to time we recommend that you review these terms of service periodically by continuing to use the service you accept any change made to the terms of service
166,14 these terms of service supersede any and all prior oral and written quotations terms communications agreements and understandings between you and us
167,2 registration and basic usage
168,21 friendicame is provided free of charge
169,22 account creation on friendicame is permitted only by our approval by registering to create an account on friendicame you agree to these terms
170,23 we may at our sole discretion refuse to approve the registration of an account
171,24 friendicame provides the possibility to publish digital files share content and send messages collectively post data post data content and generally make that data available to other users we make no warranty as to the availability of the service the security of the data you upload or the reliability of the service
172,25 textual content ie posts are stored and available on friendicame for a limited period of time and will expire automatically after that period is currently 2 years you will not be notified of the expiration of such data you can however adjust the expiration period in your user settings
173,26 after the expiry period mentioned in clause 25 friendicame will permanently delete any expired posts these posts will no longer be available or retrievable
174,3 migration and cancellation
175,31 you are free to migrate your profile to another instance of the friendica software hosted elsewhere no guarantee is made by us as to the security or integrity of your data or the security or reliability of its transference
176,32 you can delete your account at any time on this friendica instance friendicame deletion is irrevocable all your data will be deleted and purged from any backups we may hold
177,33 we offer no service to restore your profile from backup if you delete your account it is final
178,4 privacy confidentiality
179,41 any file or data you upload is treated confidentially we never routinely look at data uploaded by any user
180,42 any file or data you upload may be subject to investigation should any report be made against you your conduct or your data
181,43 you have the option to publish any data you upload provided it does not violate or contravene the restrictions of service see section 5
182,44 any file or data you upload will by default not be visible unless by another user logged into the system in which case the data you opt to share with that user may be visible the exception to this is your profile information which is visible both when users are logged in and logged out of the system if they access the location of your profile directly
183,45 considering clause 44 your profile information may be visible to search engines and other indexing systems on the internet
184,5 behaviour restrictions and mitigation
185,51 friendicame is a friendly social network but there are still rules under no circumstances do we endorse encourage or accept any of the following
186,511 any content considered illegal in the european union usa united kingdom canada or commonwealth countries including any content that violates copyright trademarks or other intellectual property law
187,512 racism
188,513 harassment
189,514 hate speech
190,515 discrimination
191,516 xenophobia
192,517 threats or threatening language
193,518 pornography involving minors
194,519 inciting violence
195,5110 the planning or discussion of criminal acts
196,5111 or any other behavior not listed above that is considered inappropriate
197,52 friendicame will explicitly not permit any trading activity to occur on its platform including but not limited to the sale or trading of arms illegal drugs contraband people basically if its illegal then its not accepted nor welcome
198,53 friendicame is still a platform that encourages freedom of speech you accept that other users may exercise this freedom in ways disagreeable to you options to block ignore archive or delete any contacts are available to users for the purpose of managing such content that is agreeable or disagreeable to them
199,54 any reports by users received by us regarding behvaiour outlined in 51 will be investigated
200,55 only situations that cannot be resolved by users using the options available to them through the software will be acted upon by us
201,56 any user may be banned from friendicame after contravening these terms it is our sole discretion what constitues a contravention of these terms our judgement is final in this regard
202,57 content warnings are required if you are posting content that is erotic gory etc this applies to text pictures and videos if you would not open that picturevideo in front of your bossspousekids please place a warning at the top of the post or in the title marking it as such eg nsfw not safe for work friendica does not have a content filtering system like on mastodon for example so users are required to exercise discretion limiting such posts to specific groups is a way to restrict access and visibility of your content
203,58 if you see content that violates our rules please notify an administrator do not engage with users who are being rude or inappropriate if you dont want to see someones contributions you can blockignore that user and report to us well deal with it
204,6 your data ownership permissions and responsibility
205,61 you own the contents of the files and data you upload to this service you are fully and solely responsible and accountable for all data that you upload
206,62 by using our service you guarantee that you have for each file or item of data including text all required permissions including from copyright and other intellectual property rights holders to distribute transfer store andor make available online as part of our service
207,63 we are not liable to you or any third party for any damages arising out of the content shared by you and its use reuse or its modification by you including but not limited to copyright protected works andor trademarks if you are unsure whether you should upload and share something dont
208,64 for the purposes of running a reliable service we periodically check the performance statistics of the server this may include inspecting log files as part of running a standard web server we log access requests to the service as this supplies our statistics data you agree that potentially identifying information such as your ip address may be logged on our server during your use of the service
209,65 we may also process your personal data for the following purposes
210,651 so we can evaluate how our service is used
211,652 during the course of an investigation
212,653 for legal reasons see 73
213,654 during the course of operating the servicewebsite
214,655 providing technical support when you request it
215,7 indemnity and liability
216,71 you will defend indemnify and hold harmless philipp holzer his employees and affiliates from and against any claims incidents liabilities procedures damages losses and expenses including reasonable legal and accounting fees arising out of or in any way connected with your access to or use of the service or your violation of these terms of service including any third party claims that files submitted to the service by you or through your account infringe or violate any third party rights
217,72 philipp holzer is not liable for any damage or personal injury resulting from any use of the friendicame website or service the limitation of liability referred to in this clause shall not apply if the liability for damage is caused by intent or gross negligence on the part of us
218,73 in so far as necessary i may use your data in defending myself my employees or affiliates in legal proceedings in relation to or as a result of your use of friendicame following a court order abiding by any law regulation or governmental request cooperating with law enforcement cooperating in fraud investigations from third parties safeguarding national security defence public security or public health and to uphold our terms
219,74 any query or dispute regarding these terms of service should in the first instance be discussed by email to adminphilippinfo
220,last updated 25 march 2022
221,do not insult other users make personal attacks flamewar or flamebait
222,no fascism racism sexism homophobia transphobia xenophobia or casteism
223,no incitement of violence or promotion of violent ideologies
224,no content that would be considered illegal in serbia croatia bosnia and herzegovina north macedonia montenegro slovenia or any country in european economic area
225,みんなが気分良く楽しめるようなコミュニケーションをしましょう
226,法律及び艦これの規約に違反する行為やそれを教唆する書込みはngです
227,専用ブラウザツール関係の話題はokです
228,画像の制限はありませんが動画は10mbまでアップロードできます
229,イベントの新規実装艦海域ボスの画像は開催期間の前半くらいまではnsfw推奨
230,ban対象になるような行為例マクロ轟沈資源回収の話題はngです
231,軍事歴史の話題は歓迎ですが政治宗教の話題は余所でどうぞ
232,愚痴は控えめに批判は理性的に
233,艦これに関係無い話題と下ネタはほどほどに
234,prohibited uses sexual depictions of children white supremacy holocaust denial nazi symbolism racism sexism discrimination against gender and sexual minorities or advocation thereof xenophobic andor violent nationalism and violations of minnesota new york california or us federal law
235,prohibited conduct whether intentional reckless or negligent public or private oppressive language or actions stalking harassment see rules 36 impeding other users from utilizing the service or degrading its performance or inciting others to perform any of the aforementioned actions
236,harassment 1 may include conversation with or conduct directed at a user that has specifically has requested for said engagement with that user to cease and desist may be considered harassment regardless of platformspecific privacy tools employed
237,harassment 2 may include aggregating posting andor disseminating a persons demographic personal or private data without express permission informally called doxing or dropping dox
238,harassment 3 may include inciting users to engage another user in continued interaction or discussion after a user has requested for said engagement with that user to cease and desist informally called brigading or dogpiling
239,harassment 4 may include unsolicited advice
240,subject to moderation excessive advertising uncurated bots posting from thirdparty sources botlike activity without a bot tag eg follow spam screenshotsmemes without media descriptions
241,public officials and those seeking public office may have accounts for personal use but msp social accounts may not be used to campaign for public office
242,content warnings required for the following text or images violence and bodily harm nudity waistdown sexually explicit depictions text or images that ethically require the audiences consent eg hypnosis
243,in the event no other rules apply but a user seeks review of certain content it may be reported for review by a moderator
244,remote servers are subject to moderation when their rules as written or as enforced are incompatible with our rules are inadequately enforced or when an admin violates an above rule
245,you are expected to abide by the rules listed here httpsgithubcomcode4libcodeofconductblobmaincode_of_conductmd
246,メイドインアビスに関わらない投稿も自由にしてください abyssfunはあくまでメイドインアビスが好きという属性が付与されているだけのサーバですメイドインアビスに関係しない投稿に関してはローカルタイムラインには表示されないように調整してありますので他人の目を気にせずに投稿することが出来ます
247,ただしスパム投稿に関しては厳しく対処します abyssfunは一般的なスパム活動を行うアカウントを許容していません疑わしきは罰せずではありますが投稿によって他人の目に触れるスパム行為が見受けられた場合はアカウント停止の処置も取らせていただきますとはいえこのルールを読める人は問題ないかとスパム行為を行うアカウントは無作為に投稿する海外の方々ですので
248,事件に発展することも勘弁してください abyssfunは原作同様様々な人々を受け入れる度量をもって運用したいと考えていますが流石に事件に発展するようなところまでは許容しきれませんというか管理人が対応しきれないので勘弁してほしいと思っています 事件に発展する可能性のある投稿が散見された場合は厳正に対処させていただきますのでご了承ください
249,respect the privacy of others
250,think before you type
251,with great power comes great responsibility
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,規約を遵守してくださいhttpsmstdnyzuorgterms
263,投稿内容に関しては日本国憲法と日本の国内法を遵守してください
264,一切の児童ポルノの投稿を禁止します
265,成人向けポルノの画像動画リンクの投稿を禁止します
266,殺人大量虐殺虐待などを賞賛あるいは助長する投稿は禁止します
267,人種民族国籍身分障害性自認性的指向その他あらゆる違いを理由に他人を差別する投稿を禁止します
268,他人との対話を拒否した暴言や罵詈雑言は慎んでください
269,特定の個人やグループに対する無理解から生じる嫌がらせをしないように心がけてください
270,admin
271,be respectful to each other
272,dont spam
273,dont post illegal content
274,nsfw content should be posted under content warning the nsfw filter or as unlisted
275,use content warning for spoilers
276,bots and commercial accounts are prohibited
277,your account may be frozen silenced or suspended for any reason at the discretion of the moderators racism xenophobia homophobia etc will not be tolerated
278,accounts that are inactive not signed in for more than a year will be deleted the username will not be freed
279,dont impersonate other people
