cleaned_rules,category
"['Take all rules as guidelines and act accordingly. In doubt feel free to address @buggie@serenityos.social, @linusg@serenityos.social or @networkexception@serenityos.social directly. The administrator team always has the last word about enforcement of rules and does not have to explain actions taken.', ",moderation
"Do the best you can in communication, try your best to keep a positive attitude, and try to not drag others down if/when you're having a bad day., ",general respectfulness
"'No content condoning or advocating for the oppression of members of marginalised groups, or general discrimination of groups based on characteristics like gender, race, disabilities, nationality, education, religion etc.', ",hate speech
"No harassment, stalking, mobbing, deadnaming, misgendering, contacting users who have made it clear they do not wish to be contacted.', ",harassment
"No content that is illegal in Germany.', ",illegal
"'Unlike on the Discord server, the discussion of politics is explicitly allowed here, but please keep things civil.', ",??
"'Provide credit for creative works that are not your own.', ",copyright
"'While we do appreciate all kinds of content you post on here, consider other instances for NSFW posts. If you still wish like publishing on here, use descriptive content warnings.']","content warning, sexual content"
"['Geht nett und freundlich miteinander um und respektiert einander.\r\nEs werden keine Beleidigungen und Herabsetzungen akzeptiert.\r\n', ",
"Es ist eigentlich klar, trotzdem sei nochmal darauf hingewiesen: Das Internet ist kein rechtsfreier Raum. Auch hier und auf diesem Server gelten die deutschen und europäischen Gesetze und Verordnungen!', ",
"'Es ist nicht erlaubt, sich mit Wegwerf- bzw. temporären E-Mailadressen an diesem Server anzumelden.\r\nDer Betreiber dieses Mastodonservers hat das Recht, entsprechende Konten zu löschen.', ",
"'English:\r\nBe nice and friendly to each other and respect each other.\r\nNo insults or put-downs are accepted.', ",general respectfulness
"'English: It is actually clear, but it should be pointed out again: The Internet is not a legal vacuum. German and European laws and regulations also apply here and on this server!', ",illegal
"'English: It is not permitted to log in to this server with disposable or temporary e-mail addresses.\r\nThe operator of this Mastodon server has the right to delete such accounts.', ",moderation
"'Español: Sé amable y cordial con los demás y respétate mutuamente.\r\nNo se aceptan insultos ni menosprecios.\r\n', ",
"'Español: En realidad está claro, pero conviene volver a señalarlo: Internet no es un vacío legal. Las leyes y normativas alemanas y europeas también se aplican aquí y en este servidor.', ",
'Español: No está permitido iniciar sesión en este servidor con direcciones de correo electrónico desechables o temporales.\r\nEl operador de este Mastodon servidor tiene derecho a eliminar dichas cuentas.'],
"['Diese Mastodon-Instanz wird als privates Hobby ohne Garantie für Verfügbarkeit betrieben. Es besteht kein Anspruch auf jederzeitigen funktionierenden Zugang zum Konto. Ich werde geplante Downtimes vorab über den Account ""Isidor"" ankündigen.', ",
"' Auf dieser Instanz sind alle Nutzerinnen und Nutzer willkommen, egal welcher politischen, religiösen oder sexuellen Ausrichtung und geschlechtlicher Identität. ', ",
"'Wenn aber der Eindruck entsteht, dass hier jemand beleidigend, diskriminierend oder schlicht nervtötend wird, behalte ich mir das Recht vor, auch ohne Ankündigung Accounts zu sanktionieren oder zu deaktivieren.', ",
"'Ich gehe davon aus, dass alle Nutzerinnen und Nutzer dieser Instanz in der Lage sind, sich selbst gegenüber anderen zur Wehr zu setzen und Querelen unter einander zu klären. Die Meinungsfreiheit erlaubt auch hitzige Debatten. Werden Grenzen überschritten, gilt jedoch Ziffer 3.', 'Sollten deine Posts Themen wie Gewalt, sexuell eindeutige Inhalte, Tod/Krankheit oder politische Inhalte während Kriegszeiten behandeln, besonders wenn diese Themen negativ oder kontrovers sind, ist es unerlässlich, die ""Inhaltswarnung"" (Content Warning / CW) Funktion zu nutzen.']",
"['All users must be 18 years of age or older.', ",age restriction
"No accounts may be made for bots or corporate entities. (External accounts for bots or corporate entities followed by users on this instance will be Limited.)',",bots
" 'All avatar and header images must be SFW. (They must follow the rest of the Acceptable Content Policies, and cannot be put behind a Content Warning or marked as sensitive.)',",content warning  
" 'All content and conduct must comply with the laws of Japan, where this instance is hosted.', ",illegal 
