,rules
0,
1,
2,
3,
4,
5,
6,be excellent to each other
7,be excellent to each other
8,check the detailed server rules for more information httpskosmossocialaboutserverrules
9,利用者は日本の法令や当サーバーにも適用される海外法令利用規約プライバシーポリシーを遵守するものとします
10,利用者はスパム差別フォビア嫌悪発言およびその助長重大な虚偽の主張他社の生命や財産の危険を招く行為運営の妨害を行わないものとします
11,利用者は13歳以上でご自分の国において個人情報の処理に同意するために十分な年齢に達しているものとします一部の国ではユーザーに代わって親または保護者の方に同意してもらうことを許可する場合があります
12,cette instance mastodon est destinée à accueillir des comptes de salariées ou militantes des ceméa elle traite plutôt des problématiques déducation populaire et déducation nouvelle elle est modérée par léquipe des adminstrateurs système de lassociation nationale des ceméa
13,la création de comptes sur cette instance est réservée aux salariés des entreprises membres du réseau libreentreprise ainsi quaux observateurs httpswwwlibreentrepriseorg
14,la netiquette et la loi what else
15,日本国内法を守ってください
16,禁止 特定の相手を傷付けるための投稿差別等
17,禁止 ユーザーとサーバーに対する迷惑行為
18,ダンスで
19,アフロを
20,でかくしろ
21,特にローカルルールはありませんが日本国の法律と公序良俗を守ってご利用下さい
22,
23,sexually explicit or violent media must be marked as sensitive when posting
24,no racism sexism homophobia transphobia xenophobia or casteism
25,no incitement of violence or promotion of violent ideologies
26,no harassment dogpiling or doxxing of other users
27,do not share intentionally false or misleading information
28,no content illegal in the usa
29,no police or military organization accounts
30,no louisiana residents are allowed to create new accounts due to louisiana act no 440
31,法律違反しない
32,サーバー攻撃をしない
33,18禁などにはちゃんと cw や nsfw を適切につける
34,みんな仲良く
35,malicious behaviour is not tolerated follow wheatons law and youll be fine
36,
37,
38,サーバの負荷等により何時でもサービスが中断終了することがあります
39,サーバに負荷のかかる行為他のユーザーへの迷惑行為を行うユーザーは凍結させていただきます
40,このインスタンスではbot送信元としてのアカウント作成と利用を禁じます
41,18禁画像などは必ずnsfwを付与するほか法的に認められないコンテンツのアップロードを禁じます
42,日本国の法律に反する利用はおやめください
43,警察等による公的な情報提供要請があった場合アクセス情報等を提出します
44,die verwaltung und moderation wird so neutral wie möglich gehandhabt
45,die ergriffenen maßnahmen beschränken sich auf das nötigste um den betrieb des netzes aufrechtzuerhalten und die fähigkeit der nutzer der instanzen mit anderen personen in verbindung zu treten nicht zu beeinträchtigen
46,kommunikation vor aktionen
47,wir empfehlen keine blocks
48,keine schuld durch assoziationverband
49,
50,
51,
52,please follow our post etiquette guide for topics to wrap under a content warning and mark images related to those topics as sensitive this does not apply to posts on oppression that you experience
53,no participation or promotion of oppression of any group based on gender gender identity and expression sexual orientation disability personal appearance body size race ethnicity age religion nationality class or other identity
54,no attempt to present reverseism as examples of oppression examples of reverseisms include but are not limited to reverse racism reverse sexism heterophobia and cisphobia
55,no promotion or participation of fascism in any form
56,no sexual depictions of minors
