Rules,Instance group
"[""Don't be a dick.""]",0-5
"['> be Lily', ",0-5
"'> be so hot that everyone who sees you instantly falls in love', ",0-5
"'> be so confident that it radiates from you', ",0-5
"'> be the kind of girl who knows what she wants and takes it', ",0-5
"'> be the definition of sexy', ",0-5
'> be Lily Velour'],0-5
['Only I can use this server :)'],0-5
"['No content illegal in The United Kingdom', ",0-5
"'No incitement of violence or promotion of discriminatory or violent ideologies', ",0-5
"'No spam, harrassment, dogpiling or doxxing of other users, including mass spam or mass reporting', ",0-5
"'No intentionally false or misleading information. By extension, do not pose as persons of interest.', ",0-5
"'Racism, Sexism, Homophobia, transphobia, xenophobia and and other forms of hate and discrimination are not welcome', ",0-5
'Sexually explicit or violent media must be marked as sensitive when posting'],0-5
['You must be Jon Nemargut to use this Mastodon instance. '],0-5
"[""Don't get banned.""]",0-5
"[""Never Underestimate Yourself, or Anyone Else. All Y'ALL.\r\n"", ",0-5
"'When at all frustrated by anything, take it outside. (and go for a hike).\r\n\r\n', ",0-5
"'Be Kind.  Kind can be Nice, but is not the same. We are Kind here.']",0-5
"['El contenido sexual explÃ­cito o violento no estÃ¡ permitido.', ",0-5
"'No estÃ¡ permitido el racismo, clasismo, sexismo, homofobia, transfobia, xenofobia o cualquier otra actitud de discriminaciÃ³n.', ",0-5
'No se permite incitaciÃ³n a la violencia ni promociÃ³n de ideologÃ­as violentas.'],0-5
"['No harassment, organized or disorganized. That is, one person harassing someone or a group of people harassing someone will be treated the same.', ",0-5
"'No doxxing', ",0-5
"'No nazis or related propaganda', ",0-5
"'Use CW (content warning) setting for NSFW material and mark as sensitive', ",0-5
"'No hate, racism, sexism, homophobia, transphobia, xenophobia, or casteism', ",0-5
'No incitement of violence or promotion of violent ideologies'],0-5
"['By registering or login here, you must read and agree to our ToS, Privacy Policy and Code of Ethics. You acknowledge that your IP & email addresses can be logged for security purposes. Skip signin / signup if you do not agree.', ",5 to 15 
"'You can provide interesting links and commentary on longer articles / content published elsewhere. If you just send in a little blurb saying â€œI like xyz.com app and think they are greatâ€ it goes to junk.', ",5 to 15 
"'Though if statements are just a kind of multiverse geolocation device being embedded into the connected mob as standalone, drive with care! You can send detailed suggestions, grievances or complaints to editor@wisepoint.org with your full profile, phone and email.']",5 to 15 
"['No racism, sexism, homophobia, transphobia, xenophobia, or casteism', ",5 to 15 
"'No incitement or depictions of violence, or the promotion of violent ideologies', ",5 to 15 
"'No harassment, dogpiling or doxxing of other users', ",5 to 15 
"NSFW content (nudity, sexual acts) is permitted so long as it's marked as sensitive AND behind a content warning, ",5 to 15 
"'No illegal content (depictions of minors, drug use, etc)']",5 to 15 
"['Do not share, trade, link to, or distribute in any manner here, any copyright material, without the express written consent of the owner.', ",5 to 15 
"'Spam is not tolerated on BoLS.', ",5 to 15 
"'No Prohibited Content: It is prohibited to link to pornography or content that can damage computers or data such as viruses or malware.', ",5 to 15 
"'Do not use racist slurs, prejudiced comments, profanity, derogatory statements, or hate speech. Evading the moderation filters by using punctuation marks or purposefully misspelling words is considered an offense.', ",5 to 15 
"'Do not initiate arguments of a personal nature. Be courteous to other users, even if you disagree with someone or believe that they are ill-informed. Refrain from flaming posts or comments. You may argue and debate, but do not make any attacks of a personal nature (including grammar trolling).']",5 to 15 
['Only photos of T-shirts or designs'],5 to 15 
"['Sexually explicit or violent media must be marked as sensitive when posting.', ",5 to 15 
"'No discrimination, including racism, sexism, homophobia, transphobia, xenophobia, or casteism.', ",5 to 15 
"'No incitement of violence or promotion of violent ideologies.', ",5 to 15 
"'No harassment, dogpiling or doxxing of other users.', ",5 to 15 
"'Do not share false or misleading information that may lead to physical harm.', ",5 to 15 
'No accounts owned by Elon Musk.'],5 to 15 
"['Jeder wird respektvoll behandelt, egal welchen Glaubens, Herkunft, sexuelle IdentitÃ¤t oder Ausrichtung. HÃ¶flicher Umgang wird bevorzugt. #NoAfd. Bei Nichtbeachtung, Ausschluss!']",5 to 15 
"['Be nice', ",5 to 15 
"'Nothing hateful, toxic, or illegal']",5 to 15 
['meow'],5 to 15 
"['This server is for the members of the Van Gogh-Goghs Comedy Collective (https://vgg.com).', ",5 to 15 
"'The server is not open to the general public. But if you are or know one of the Van Gogh-Goghs, you can have an account here. \r\n',",5 to 15 
Illegal content of any kind will not be tolerated. Any kind. Any. Kind. Don't make me go research what this means in every jurisdiction in the world. it's easier to just ban you.],5 to 15 
"['Only people who are 18+ may join', ",5 to 15 
"'Use content warnings and appropriate tags for any NSFW / Lewd content', ",5 to 15 
"'Be excellent to each other. No racism, homophobia, ageism, classism, ableism, anti-semitism, etc. will be tolerated.', ",5 to 15 
"'No illegal content allowed', ",5 to 15 
"'If you are able, add sources to image / video posts. Giving models / creators credit is a good thing to do. :)', ",5 to 15 
"'No spam / advertising / crap like that', ",5 to 15 
"If you are trying to register to join this server, I will consider adding you if we have spoken before and you can point me to an account of yours I've interacted with. Everyone else will be denied sight unseen., ",5 to 15 
"'No under 18 anything. Real, fake, written fantasy, nothing like that will be allowed here. This is a place for people to post 18+ content. No exceptions. ']",5 to 15 
"['Serverstandort: Deutschland. EU-Recht und deutsche Gesetze gelten.',",5 to 15 
" 'BeitrÃ¤ge, fÃ¼r die die noAFD oder noSVP applaudieren wÃ¼rden, sind hier unerwÃ¼nscht. Also keine faschistischen, rassistischen, sexistischen, queerfeindlichen und sonstigen entmenschlichenden Inhalte.']",5 to 15 
"['No racism, sexism, homophobia, transphobia, ableism, or other discriminatory or hateful content.\r\n', ",5 to 15 
"'No harassment, dogpiling, doxxing, or other personal attacks.', ",5 to 15 
"'No deliberately antagonistic, inflammatory posting meant to provoke angry and emotional responses. (trolling/shitposting)', ",5 to 15 
"'No hate speech or promotion of violence, white supremacy, antisemitism, or other hateful ideologies.', ",5 to 15 
"No pornography or depictions of sexual violence.',",5 to 15 
" 'No posts promoting unsupported conspiracy theories, or other false or misleading information.', ",5 to 15 
'No content illegal in the United States.'],5 to 15 
"['There is no room here for insults, hatred, misinformation, falsified data, racism, Nazism, homophobia, hostility towards the disabled, faecal language, threats to minors, and the like... this applies to texts as well as pictures and videos.', ",5 to 15 
"'Hier ist kein Platz fÃ¼r Beleidigungen, Hass, Fehlinformationen, gefÃ¤lschte Daten, Rassismus, Nazismus, Homophobie, Behindertenfeindlichkeit, FÃ¤kalsprache, Bedrohung von MinderjÃ¤hrigen und dergleichen... dies gilt sowohl fÃ¼r Texte als auch fÃ¼r Bilder und Videos.', ",5 to 15 
"Il n'y a pas de place ici pour les insultes, la haine, la dÃ©sinformation, les donnÃ©es falsifiÃ©es, le racisme, le nazisme, l'homophobie, l'hostilitÃ© envers les handicapÃ©s, le langage ordurier, les menaces envers les mineurs, etc... ceci s'applique aussi bien aux textes qu'aux images et aux vidÃ©os.,",5 to 15 
"'AquÃ­ no tienen cabida los insultos, el odio, la desinformaciÃ³n, los datos falsificados, el racismo, el nazismo, la homofobia, la hostilidad hacia los discapacitados, el lenguaje fecal, las amenazas a los menores y similares... esto se aplica tanto a los textos como a las imÃ¡genes y los vÃ­deos.', ",5 to 15 
"Qui non c'Ã¨ spazio per insulti, odio, disinformazione, dati falsificati, razzismo, nazismo, omofobia, ostilitÃ  verso i disabili, linguaggio fecale, minacce ai minori e simili... Questo vale sia per i testi che per le immagini e i video., ",5 to 15 
"'Siin ei ole ruumi solvangutele, vihkamisele, valeinformatsioonile, vÃµltsitud andmetele, rassismile, natsismile, homofoobiale, vaenulikkusele puuetega inimeste suhtes, fekaalsele keelele, alaealiste Ã¤hvardamisele jms... see kehtib nii tekstide kui ka piltide ja videote kohta.', ",5 to 15 
"'Å eit nav vietas apvainojumiem, naidam, dezinformÄcijai, viltotiem datiem, rasismam, nacismam, homofobijai, naidÄ«gumam pret invalÄ«diem, fekÄlijÄm, draudiem nepilngadÄ«gajiem un tamlÄ«dzÄ«gi... tas attiecas gan uz tekstiem, gan attÄ“liem un video.', ",5 to 15 
"'ÄŒia nÄ—ra vietos Ä¯Å¾eidimams, neapykantai, dezinformacijai, suklastotiems duomenims, rasizmui, nacizmui, homofobijai, prieÅ¡iÅ¡kumui neÄ¯galiesiems, fekalijoms, grasinimams nepilnameÄiams ir panaÅ¡iai... Tai taikoma tiek tekstams, tiek nuotraukoms ir vaizdo Ä¯raÅ¡ams.', ",5 to 15 
"'Nie ma tu miejsca na obelgi, nienawiÅ›Ä‡, dezinformacjÄ™, faÅ‚szowanie danych, rasizm, nazizm, homofobiÄ™, wrogoÅ›Ä‡ wobec osÃ³b niepeÅ‚nosprawnych, jÄ™zyk fekalny, groÅºby wobec nieletnich i tym podobne... dotyczy to zarÃ³wno tekstÃ³w, jak i zdjÄ™Ä‡ oraz filmÃ³w.', ",5 to 15 
"'Nie ma tu miejsca na obelgi, nienawiÅ›Ä‡, dezinformacjÄ™, faÅ‚szowanie danych, rasizm, nazizm, homofobiÄ™, wrogoÅ›Ä‡ wobec osÃ³b niepeÅ‚nosprawnych, jÄ™zyk fekalny, groÅºby wobec nieletnich i tym podobne... dotyczy to zarÃ³wno tekstÃ³w, jak i zdjÄ™Ä‡ oraz filmÃ³w.', ",5 to 15 
" 'Her er der ikke plads til fornÃ¦rmelser, had, misinformation, forfalskede oplysninger, racisme, nazisme, homofobi, fjendtlighed over for handicappede, fÃ¦kal sprogbrug, trusler mod mindreÃ¥rige og lignende... dette gÃ¦lder bÃ¥de for tekster, billeder og videoer.']",5 to 15 
"['Sexuell eindeutige oder gewalttÃ¤tige Medien mÃ¼ssen bei der Einstellung als sensibel gekennzeichnet werden.', ",5 to 15 
"'Kein Rassismus, Sexismus, Homophobie, Transphobie, Fremdenfeindlichkeit oder Kastendenken.', 'Keine Aufforderung zur Gewalt oder FÃ¶rderung von Gewaltideologien.', ",5 to 15 
"'Keine BelÃ¤stigung, kein Dogpiling oder Doxxing anderer Nutzer.', ",5 to 15 
"'Keine in Deutschland illegalen Inhalte.', ",5 to 15 
'Keine absichtlich falschen oder irrefÃ¼hrenden Informationen verbreiten.'],5 to 15 
"['Sexually explicit or violent media must be marked as sensitive when posting', ",5 to 15 
"'No harassment, dogpiling or doxxing of other users', ",5 to 15 
"'Do not share intentionally false or misleading information', ",5 to 15 
"Be respectful rergarding the expression of different worldviews', '",5 to 15 
No content illegal in Germany'],5 to 15 
"['No racism, sexism, transphobia, or xenophobia. ', ",5 to 15 
"'CW all nudity and gore', ",5 to 15 
"'No nazis, No fash, no cops/feds, no sexual depictions of children. ', ",5 to 15 
"'No stalking or harassment.  No ban evasions.', ",5 to 15 
"'Ad policy: Music promotion is allowed, but ONLY 2 posts per show.  Do not spam. ', ",5 to 15 
'Jeff Bezos is not allowed on this server.  Do not let him in. This is a bannable offense. '],5 to 15 
"['Be excellent to each other.',",5 to 15 
" '@chris is the boss. His rule is LAW.', ",5 to 15 
"Don't post anything that will get us de-federated., ",5 to 15 
Don't be an asshole.],5 to 15 
"['We do not tolerate threatening behaviour, stalking, and doxxing.', ",5 to 15 
"'We do not tolerate discriminatory behaviour and content promoting or advocating the oppression of members of marginalized groups.', ",5 to 15 
"'We do not tolerate harassment, including brigading, dogpiling, or any other form of contact with a user who has stated that they do not wish to be contacted.', ",5 to 15 
"'We do not tolerate mobbing, including name-calling, intentional misgendering or deadnaming.', ",5 to 15 
"'We do not tolerate nationalist propaganda, Nazi symbolism or promoting the ideology of National Socialism.', ",5 to 15 
"We do not tolerate conspiracy narratives or other reactionary myths supporting or leading to the above-mentioned (and/or similar) behavior.',",5 to 15 
" 'Actions intended to damage this instance or its performance may lead to immediate account suspension.', ",5 to 15 
"'Content that is illegal in Germany will be deleted and may lead to immediate account suspension.', ",5 to 15 
"Toots containing a piece of art must be credited, ideally with a link back to the source.', ",5 to 15 
"""Use of bots on this instance is subject to admins' authorization.""]",5 to 15 
"['DO: Post content that is meaningful to you', ",5 to 15 
"'DO: Treat everyone on server and across servers with respect and decency', ",5 to 15 
"'DO: Support claims with clear evidence from reputable sources', ",5 to 15 
"'DO: Use content warnings when discussing sensitive topics (ex. violence)', ",5 to 15 
"DON'T: Be tolerant of intolerance - report and disengage from people or servers that do not treat all people with respect and decency,",5 to 15 
" ""DON'T: Stalk, harass, or dox anyone"", ",5 to 15 
"DON'T: Post gore, graphic violence, pedophilia, necrophilia, etc., ",5 to 15 
"DON'T: Discriminate against others (ex. no racism, sexism, xenophobia, homophobia, transphobia, etc.), ",5 to 15 
"DON'T: Run commercial accounts or post advertisements for business services,",5 to 15 
DON'T: Spam people with unwanted or repetitive content (ex. no bots)],5 to 15 
"[""This server is intended to be a place for Dartisans like  myself to chat together and explore the fediverse as seen from the Dart community, however a few ground rules have to apply to users, not that I'm expecting any users to break these but please see below."", ",15 to 35
"No privacy violations against other people; doxing, revealing or sexual images of someone else, information about someone's health, or crimes done against them., ",15 to 35
"No threats against other people.',",15 to 35
" 'No xenophobia, hate speech or incitement to such things.', ",15 to 35
"'No incitements to break any of the server rules', ",15 to 35
"'No spread of violent images, sexual violence, torture, or forced actions.']",15 to 35
"['Sei immer freundlich und hÃ¶flich. Behandle andere mit Respekt.', ",15 to 35
"'BelÃ¤stige und beleidige niemanden und unterlasse persÃ¶nliche Angriffe.Weder allein noch als Gruppe. Das VerÃ¶ffentlichen oder die Androhung von VerÃ¶ffentlichung von personen-identifizierenden Informationen (""doxing"") wird als BelÃ¤stigung ausgelegt.', ",15 to 35
"'Kontaktiere keine Nutzer:innen die angegeben haben, dass sie nicht kontaktiert werden mÃ¶chten.', ",15 to 35
"'Nochmal ganz deutlich: Wir dulden keine nationalistische Propaganda, keine Nazi-Symbolik und keine FÃ¶rderung der Ideologie des Nationalsozialismus!', ",15 to 35
"'Poste keine pornographischen oder sexualisierten Inhalte. Dazu gehÃ¶ren auch Witze und Kommentare.', ",15 to 35
"'VerÃ¶ffentliche keinen Spam oder kommerzielle Werbung. Kommerzielle Werbung in diesem Zusammenhang bedeutet, wenn die verÃ¶ffentlichten Inhalte keinen persÃ¶nlichen Bezug aufweisen und eindeutig dazu gedacht sind, direkt oder indirekt Geld zu erwirtschaften.\r\n', ",15 to 35
"'Keine Killerphrasen, Scheinargumente, schwarze Rhetorik oder Sophismus', ",15 to 35
"'Diskutiere Moderationsentscheidungen nicht zuerst in Ã¶ffentlichen Toots', ",15 to 35
"'Die Nutzung oder BefÃ¼rwortung von rassistischer, sexistischer, homophober, transphober, behindertenfeindlicher und anderweitig diskriminierender oder hasserfÃ¼llter Sprache wird nicht geduldet\r\n', ",15 to 35
"'Verharmlosende oder gutheiÃŸende Inhalte zu WeiÃŸer Vorherrschaft, Antisemitismus, Transphobie oder anderen hasserfÃ¼llten Ideologien werden nicht geduldet.\r\n', ",15 to 35
"'Halte dich an die in Deutschland geltenden Gesetze (verbietet u.a. auch gewaltverherrlichende Inhalte).\r\n', ",15 to 35
"'Nutze Inhaltswarnungen fÃ¼r Posts und NSFW-Marker bei Medien im Falle von kontroversen, aufrÃ¼hrerischen oder triggernden Themen\r\n', ",15 to 35
'Nachgewiesene Falschinformationen/Fakenews (inkl. VerschwÃ¶rungstheorien) sind hier unerwÃ¼nscht\r\n'],15 to 35
"[""Don't be an asshole. ""]",15 to 35
"['We are progressive and will not tolerate racism, antisemitism, Islamophobia, casteism, any kind of queerphobia, or hate speech. ",15 to 35
"Free Speech is not a priority of this instance. Don\'t be a sealion or a concern troll.', ",15 to 35
"Be aware of power imbalances and intersectionality, and act accordingly. Don't tone police., ",15 to 35
"'We use content warnings liberally. Please consider content warning topics that could cause distress to others. You are not expected to use content warnings on your lived experiences of marginalization.', ",15 to 35
"Don't say anything that will get you or old.mermaid.town in trouble with The Law. We are located in Australia, and our privacy laws are stacked against us. ]",15 to 35
"[""Don't be a dick"", ",15 to 35
"Don't get me in trouble with the law or my network provider, ",15 to 35
"Don't embarrass me in front of the other Mastodon admins, ",15 to 35
"You're in my house; Don't give me a reason to kick you out, ",15 to 35
"'If you cause problems, I will deal with you based on my perception of the severity. ', ",15 to 35
"'This could be anywhere from [telling you to knock it off] up to [deleting your account and everything associated with it, blocking your IPs at the firewall, and reporting you to your ISP and law enforcement].', ",15 to 35
"Please don't make me do the latter. Seriously., ",15 to 35
"'No RSS-feed bots not related to a Clacks user.', ",15 to 35
"'No corporate accounts.', ",15 to 35
"No purely advertising accounts (advertising your own things, provided it's not _all_ you do, is fine)., ",15 to 35
"'No parody accounts', ",15 to 35
