,instance,rule,preprocessed rules,lang
0,social.tchncs.de,Be nice to each other,be nice to each other,English
1,social.tchncs.de,Do not publish advertisements,do not publish advertisements,English
2,social.tchncs.de,Do not publish conspiracy myths,do not publish conspiracy myths,English
3,social.tchncs.de,"Do not publish content illegal in Germany and/or France, such as holocaust denial or Nazi symbolism",do not publish content illegal in germany andor france such as holocaust denial or nazi symbolism,English
4,social.tchncs.de,Do not publish content promoting the ideology of National Socialism,do not publish content promoting the ideology of national socialism,English
5,social.tchncs.de,"Do not publish content that is hateful towards specific individuals or groups, or intended to cause or incite harm",do not publish content that is hateful towards specific individuals or groups or intended to cause or incite harm,English
6,social.tchncs.de,Do not exclusively crosspost from other platforms,do not exclusively crosspost from other platforms,English
10,botsin.space,"No accounts that promote cryptocurrency
",no accounts that promote cryptocurrency,English
11,botsin.space,"No police/military organization accounts
",no policemilitary organization accounts,English
12,botsin.space,"No sexual depictions of children
",no sexual depictions of children,English
13,botsin.space,"No uncurated news bots posting. If you want to see statuses from a newspaper or something like that, check out https://feedsin.space to setup an RSS->fediverse account.
",no uncurated news bots posting if you want to see statuses from a newspaper or something like that check out httpsfeedsinspace to setup an rssfediverse account,English
14,botsin.space,"No untagged nudity, pornography and sexually explicit content
",no untagged nudity pornography and sexually explicit content,English
15,botsin.space,"No untagged gore and extremely graphic violence
",no untagged gore and extremely graphic violence,English
16,botsin.space,"No stalking or harassment of other users
",no stalking or harassment of other users,English
17,botsin.space,"Do not use bots to abuse other people. Punch up, not down
",do not use bots to abuse other people punch up not down,English
18,botsin.space,"Respect the standards of the fediverse. If a human would likely add CW to a post, a bot should also add a CW.",respect the standards of the fediverse if a human would likely add cw to a post a bot should also add a cw,English
19,botsin.space,"Your signup request must include the magic word!

The magic word is.... spreadsheet",your signup request must include the magic word the magic word is spreadsheet,English
20,botsin.space,"No mirrors of someone else's Twitter accounts. If they want to be here, they can create their own account.

",no mirrors of someone elses twitter accounts if they want to be here they can create their own account,English
21,botsin.space,"No interactions with people who don't opt in to the interaction. If you mention another user, they must either follow the bot, or they must've started the interaction themselves.
",no interactions with people who dont opt in to the interaction if you mention another user they must either follow the bot or they mustve started the interaction themselves,English
22,botsin.space,"No bots that use ChatGPT, OpenAI or the other big GPT systems. If you're running your own LLM, that's ok. If you think you have a special use case to use a GPT system, feel free to ask if you can make a bot here, but chances are the answer will be no.",no bots that use chatgpt openai or the other big gpt systems if youre running your own llm thats ok if you think you have a special use case to use a gpt system feel free to ask if you can make a bot here but chances are the answer will be no,English
23,mastodon.top,"Respectez les autres utilisateurs
",respectez les autres utilisateurs,non-Englsih
