,Unnamed: 0.1,Unnamed: 0,instance,rule,preprocessed rules,lang,translated rules,formality label,formality score,genre label,genre score
0,0,0,social.tchncs.de,Be nice to each other,be nice to each other,English,be nice to each other,informal,0.9966365098953247,Prose/Lyrical,Prose/Lyrical
1,1,1,social.tchncs.de,Do not publish advertisements,do not publish advertisements,English,do not publish advertisements,informal,0.8188931345939636,Legal,Legal
2,2,2,social.tchncs.de,Do not publish conspiracy myths,do not publish conspiracy myths,English,do not publish conspiracy myths,informal,0.9680717587471008,Legal,Legal
3,3,3,social.tchncs.de,"Do not publish content illegal in Germany and/or France, such as holocaust denial or Nazi symbolism",do not publish content illegal in germany andor france such as holocaust denial or nazi symbolism,English,do not publish content illegal in germany andor france such as holocaust denial or nazi symbolism,informal,0.9644613265991211,Legal,Legal
4,4,4,social.tchncs.de,Do not publish content promoting the ideology of National Socialism,do not publish content promoting the ideology of national socialism,English,do not publish content promoting the ideology of national socialism,formal,0.9262445569038391,Legal,Legal
5,5,5,social.tchncs.de,"Do not publish content that is hateful towards specific individuals or groups, or intended to cause or incite harm",do not publish content that is hateful towards specific individuals or groups or intended to cause or incite harm,English,do not publish content that is hateful towards specific individuals or groups or intended to cause or incite harm,formal,0.9890915155410767,Legal,Legal
6,6,6,social.tchncs.de,Do not exclusively crosspost from other platforms,do not exclusively crosspost from other platforms,English,do not exclusively crosspost from other platforms,informal,0.879381537437439,Legal,Legal
7,7,10,botsin.space,"No accounts that promote cryptocurrency
",no accounts that promote cryptocurrency,English,no accounts that promote cryptocurrency,informal,0.9602171778678894,Information/Explanation,Information/Explanation
8,8,11,botsin.space,"No police/military organization accounts
",no policemilitary organization accounts,English,no policemilitary organization accounts,informal,0.988910436630249,News,News
9,9,12,botsin.space,"No sexual depictions of children
",no sexual depictions of children,English,no sexual depictions of children,informal,0.9776662588119507,Information/Explanation,Information/Explanation
10,10,13,botsin.space,"No uncurated news bots posting. If you want to see statuses from a newspaper or something like that, check out https://feedsin.space to setup an RSS->fediverse account.
",no uncurated news bots posting if you want to see statuses from a newspaper or something like that check out httpsfeedsinspace to setup an rssfediverse account,English,no uncurated news bots posting if you want to see statuses from a newspaper or something like that check out httpsfeedsinspace to setup an rssfediverse account,informal,0.9929775595664978,Promotion,Promotion
11,11,14,botsin.space,"No untagged nudity, pornography and sexually explicit content
",no untagged nudity pornography and sexually explicit content,English,no untagged nudity pornography and sexually explicit content,informal,0.9931168556213379,Promotion,Promotion
12,12,15,botsin.space,"No untagged gore and extremely graphic violence
",no untagged gore and extremely graphic violence,English,no untagged gore and extremely graphic violence,informal,0.9951978325843811,Promotion,Promotion
13,13,16,botsin.space,"No stalking or harassment of other users
",no stalking or harassment of other users,English,no stalking or harassment of other users,informal,0.996704638004303,Promotion,Promotion
