,formatted_rules,cleaned_rules,lang
0,"Be gay, grow wheat.
Follow the Code of Conduct ",be gay grow wheat follow the code of conduct,English
1,Trans Rights are Human Rights,trans rights are human rights,English
2,"Nudity, lewdity, violence, gore, drug & alcohol use, and sensitive images and topics must be behind a Content Warning and have media marked as 'Sensitive.'",nudity lewdity violence gore drug alcohol use and sensitive images and topics must be behind a content warning and have media marked as sensitive,English
3,"No excessive posting of non-original content from other social media, or news sites.",no excessive posting of nonoriginal content from other social media or news sites,English
4,No bulk posting or spamming the timeline,no bulk posting or spamming the timeline,English
5,"Absolutely no sexual depictions of children or minors, including artistic depictions.",absolutely no sexual depictions of children or minors including artistic depictions,English
6,"No commercial or third party advertising. Self promotion by creators, artists, sw, etc and sharing such content is fine. Posting/sharing mutual and community aid is also fine.",no commercial or third party advertising self promotion by creators artists sw etc and sharing such content is fine postingsharing mutual and community aid is also fine,English
7,"Purposefully avoiding proper names for people, places, things, events, technologies, ideologies, philosophies, etc, with the intent to bypass user filters will result in suspension.",purposefully avoiding proper names for people places things events technologies ideologies philosophies etc with the intent to bypass user filters will result in suspension,English
8,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
9,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
10,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
11,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
12,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
13,,,Error
14,,,Error
15,,,Error
16,"(個人利用専用) このサーバは個人利用専用です。

自分(@nya2510)以外からの登録は受け付けません。",個人利用専用 このサーバは個人利用専用です 自分nya2510以外からの登録は受け付けません,non-Englsih
17,"(実験用) このサーバは実験用です。

無くなると管理者が困るので極力正しい状態を維持しますが、突然爆発して無くなるかもしれません。 ",実験用 このサーバは実験用です 無くなると管理者が困るので極力正しい状態を維持しますが突然爆発して無くなるかもしれません,non-Englsih
18,"keine illegalen Inhalte, keine Pornografie",keine illegalen inhalte keine pornografie,non-Englsih
19,keine Hassreden,keine hassreden,non-Englsih
20,zivilisierter Umgang miteinander ist Pflicht,zivilisierter umgang miteinander ist pflicht,non-Englsih
21,No hate speech or harmful behavior.,no hate speech or harmful behavior,English
22,Be polite.,be polite,non-Englsih
23,No discrimination.,no discrimination,non-Englsih
24,NSFW content (including nudity) MUST be marked as sensitive AND behind a content warning.,nsfw content including nudity must be marked as sensitive and behind a content warning,English
25,No content with unnecessary violence or gore.,no content with unnecessary violence or gore,English
26,No illegal content or activity.,no illegal content or activity,English
27,No sharing of personal information that Is not your own.,no sharing of personal information that is not your own,English
28,"No discrimination, including (but not limited to) racism, sexism, homophobia or transphobia.",no discrimination including but not limited to racism sexism homophobia or transphobia,English
29,No explicit (NSFW) content without content warnings and/or sensitive media markers. Explicit content must not be used in user avatars or header images.,no explicit nsfw content without content warnings andor sensitive media markers explicit content must not be used in user avatars or header images,English
30,No harassment of other users on this or other instances.,no harassment of other users on this or other instances,English
31,"No content illegal in the following countries: United Kingdom, Germany, France, Canada, USA",no content illegal in the following countries united kingdom germany france canada usa,English
32,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English
33,No disinformation regarding public health issues or political/military campaigns.,no disinformation regarding public health issues or politicalmilitary campaigns,English
34,"No spam. This includes commercial advertising, promotional campaigns, and SEO.",no spam this includes commercial advertising promotional campaigns and seo,English
35,"Moderation works on a 'best efforts' basis. Unless indicated otherwise, all decisions should be considered final.",moderation works on a best efforts basis unless indicated otherwise all decisions should be considered final,English
36,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
37,"No racism, sexism, homophobia, transphobia, xenophobia, ableism, or casteism",no racism sexism homophobia transphobia xenophobia ableism or casteism,non-Englsih
38,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
39,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
40,No content illegal in The Netherlands,no content illegal in the netherlands,English
41,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
42,No covid denialism or covid minimising,no covid denialism or covid minimising,non-Englsih
43,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism. ",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
44,No content illegal in the United States.,no content illegal in the united states,English
45,"No harassment, dogpiling or doxxing of other users. ",no harassment dogpiling or doxxing of other users,English
46,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English
47,"Bots must be marked as bots in their profile preferences, and automated posts should be unlisted.",bots must be marked as bots in their profile preferences and automated posts should be unlisted,English
48,Do not share intentionally false or misleading information. ,do not share intentionally false or misleading information,English
49,Do not spam or abuse network features.,do not spam or abuse network features,English
50,"Public posts which contain nudity, sexually explicit, or violent content must be marked with an ""NSFW"" content warning and media marked as sensitive when posting. ",public posts which contain nudity sexually explicit or violent content must be marked with an nsfw content warning and media marked as sensitive when posting,English
51,Be excellent to each other.,be excellent to each other,English
52,No hate speech or discrimination of any kind.,no hate speech or discrimination of any kind,English
53,"No harassment, stalking, or doxxing.",no harassment stalking or doxxing,non-Englsih
54,NSFW posts are permitted ONLY behind a content warning and NSFW media must be marked as sensitive.,nsfw posts are permitted only behind a content warning and nsfw media must be marked as sensitive,English
55,No sexual depictions or content involving anyone under 18 years.,no sexual depictions or content involving anyone under 18 years,English
56,No spam accounts and no using irrelevant hashtags to promote your posts.,no spam accounts and no using irrelevant hashtags to promote your posts,English
57,"Vade Retro, ici c'est mon mien !",vade retro ici cest mon mien,non-Englsih
58,"Keine Beleidigung, Diskriminierung und Belästigung.
No insult, discrimination and harassment.",keine beleidigung diskriminierung und belästigung no insult discrimination and harassment,non-Englsih
59,"Keine Anstiftung zu Straftaten.
No incitement to crime.",keine anstiftung zu straftaten no incitement to crime,non-Englsih
60,"Keine extremistischen Inhalte.
No extremist content.",keine extremistischen inhalte no extremist content,non-Englsih
61,"Sexuelle Inhalte sind entsprechend zu kennzeichnen.
Sexual content must be marked accordingly.",sexuelle inhalte sind entsprechend zu kennzeichnen sexual content must be marked accordingly,non-Englsih
62,"Gewaltdarstellende Inhalte sind entsprechend zu kennzeichnen.
Content depicting violence must be marked accordingly.",gewaltdarstellende inhalte sind entsprechend zu kennzeichnen content depicting violence must be marked accordingly,non-Englsih
63,No hate!,no hate,non-Englsih
64,LBGTQ+ friendly,lbgtq friendly,non-Englsih
65,"Don't be a jerk, all right? ",dont be a jerk all right,English
66,Don't spam people,dont spam people,non-Englsih
67,Harassment or discrimination of any kind will not be tolerated here. ,harassment or discrimination of any kind will not be tolerated here,English
